,random,mean,median,enet,knn_iter,rf,knn1,knn50
mirna,0.5303695408807417,0.08532672527431143,0.08689814304678173,0.08532672527431143,0.08232849364052554,0.0850990679099197,0.11449270807800034,0.08377699202034146
meth,0.381800814614462,0.13395549781914132,0.1365261915838666,0.13395549781914132,0.1315249295124012,0.1309983108210708,0.15190264335739462,0.12619914935603635
mrna,0.335051282535907,0.1386394962855829,0.13904486085483822,0.1386394962855829,0.1372066760248861,0.1348820758684213,0.16348365256327374,0.13213429198030996
mirna+meth,0.41614120902163665,0.1255543078298891,0.1279546018074483,0.1255543078298891,0.12337420306419647,0.1232409232343429,0.14384952799697362,0.11858036659177382
meth+mrna,0.35953532494101187,0.13631761684810612,0.13779128114386624,0.13631761684810612,0.13943390419120877,0.1383403439418751,0.16522793323823273,0.13075537040482768
mrna+mirna,0.3828507814833975,0.1295363403769125,0.13009437293336995,0.1295363403769125,0.1287270437378381,0.12730489969584988,0.155759057417638,0.12485187435053077
