,mean,median,enet,knn_iter,rf,knn1,knn50
mirna,0.8383247718459718,0.852941396628222,0.8383123147267029,0.8159322111175663,0.8489601870254543,1.2167099761410445,0.8279831190650635
meth,0.9300887498403106,0.9453684161838231,0.9293487557434598,0.9159181395017308,0.9126476339339843,1.0549868425760593,0.8855874938051689
mrna,0.9691842723851896,0.9716747691059455,0.9684120532962278,0.9588550623365489,0.9451120455288143,1.1264185701684868,0.9281484755138735
mirna+meth,0.9120782859888247,0.9272208335458731,0.9115283175109579,0.8992220222460479,0.8988342025487889,1.058239827793283,0.8747761742041712
meth+mrna,0.9498376799270287,0.9586118346950978,0.9498188034894072,0.9677411995990851,0.9617437193695638,1.1510119727210002,0.9131251181192745
mrna+mirna,0.9439059569192432,0.9486085260717576,0.9432933861076802,0.9400351509625057,0.930133833647986,1.1558382581312672,0.9152646290458402
