,mean,median,enet,knn_iter,rf,knn1,knn50
mirna,0.025670379034524585,0.06263323708779853,0.02587627970720865,0.14792650363091767,0.2700243483971587,1.0106859496583263,0.2546548980913171
meth,0.02664959907034445,0.18891707220991807,0.028572122891440066,0.20609511779793752,0.2021268810468791,0.7273376987260332,0.2044034893230369
mrna,0.02847088124146084,0.0913966059447116,0.02960188338564929,0.23366636896590498,0.2116836685074228,0.8343916911470682,0.2640847428609283
mirna+meth,0.026696378882434788,0.20512286344547018,0.027812995383043868,0.21406496514379691,0.2033150706263311,0.7706983084631377,0.22667122582445517
meth+mrna,0.029656316830353645,0.14920633119799026,0.029721870279020124,0.22233775144561801,0.20279080653061599,0.8626812805891059,0.21868432595643983
mrna+mirna,0.030552497670991993,0.1328249769165462,0.03152124444493601,0.23727783911531766,0.20180130464119272,0.8541687600551723,0.267180799230624
