,0
CD11a,0.7456696077081059
CD11c,0.7653699061262927
CD123,0.6893507534843306
CD127-IL7Ra,0.7616277433882527
CD14_y,0.6460458343738533
CD16,0.23275919205883208
CD161,0.34433596188467486
CD19,0.4049707562445382
CD197-CCR7,0.425634368747899
CD25,0.2815836442911512
CD27,0.8086328526883279
CD278-ICOS,0.7223942126614701
CD28,0.775954783435728
CD3,0.7435088643958376
CD34_y,0.5869965071438116
CD38_y,0.6529637374061955
CD4,0.5250111026503599
CD45RA,0.6023412641262637
CD45RO,0.47770894558133453
CD56,0.21463660760023948
CD57,0.26287769870690403
CD69,0.5718588437552867
CD79b,0.3588198259329085
CD8a,0.378780289967027
HLA.DR,0.7974057998276799
