,0
CD11a,0.7497468086547598
CD11c,0.8068144809749773
CD123,0.5349871800911506
CD127-IL7Ra,0.5702093802357646
CD14_y,0.8571150307982821
CD16,0.6579434015215407
CD161,0.577774043201141
CD19,0.6671381622656087
CD197-CCR7,0.35962892829199333
CD25,0.30949555763408604
CD27,0.6552455600308215
CD278-ICOS,0.5288463670905735
CD28,0.5962802219150762
CD3,0.5831828014702256
CD34_y,0.556916551690313
CD38_y,0.5054451358090088
CD4,0.5285050190863337
CD45RA,0.5841198729133588
CD45RO,0.42183186123108435
CD56,0.6674912619200397
CD57,0.38014104604575544
CD69,0.5605729574755862
CD79b,0.6382614545393067
CD8a,0.6015105923517227
HLA.DR,0.534648517877515
