,0
CD11a,0.718543382414404
CD11c,0.6177648220167145
CD123,0.5386004877922421
CD127-IL7Ra,0.39275555957220915
CD14_y,0.7512613659661826
CD16,0.5852174227452815
CD161,0.5269216097090905
CD19,0.42094530428214555
CD197-CCR7,0.31280390568856864
CD25,0.13797812042815294
CD27,0.506835272831075
CD278-ICOS,0.37399540007757603
CD28,0.42947262881273396
CD3,0.43816936709418375
CD34_y,0.5881466654415132
CD38_y,0.4403728039181451
CD4,0.4645111025384891
CD45RA,0.44000720541307936
CD45RO,0.31348656422981874
CD56,0.6680867313913632
CD57,0.3534099825586817
CD69,0.45765525537651686
CD79b,0.454088393837975
CD8a,0.5251223639159399
HLA.DR,0.3994716910752455
