,0
CD11a,0.724487513588421
CD11c,0.684506817199765
CD123,0.6435468566393104
CD127-IL7Ra,0.4656040100281682
CD14_y,0.5609396632782206
CD16,0.22781313694831418
CD161,0.27295351368133847
CD19,0.35447546164293703
CD197-CCR7,0.38992120985985573
CD25,0.17755741879476705
CD27,0.7304996461094888
CD278-ICOS,0.5859849371294998
CD28,0.6657900183375705
CD3,0.6561608043121605
CD34_y,0.5332568648102021
CD38_y,0.579792786309554
CD4,0.4003882669286634
CD45RA,0.403989048083467
CD45RO,0.38669589716147307
CD56,0.21750172121521852
CD57,0.22175757912029515
CD69,0.4999300707656167
CD79b,0.2945237179967212
CD8a,0.39524284926818487
HLA.DR,0.7029803780509312
