,0
CD11a,0.7586236596328384
CD11c,0.7858403852503906
CD123,0.6963965651384467
CD127-IL7Ra,0.7743831323035367
CD14_y,0.6369779433473738
CD16,0.2571205689011145
CD161,0.36483255759370997
CD19,0.39115291893660853
CD197-CCR7,0.4249916656946277
CD25,0.3213507020967852
CD27,0.8280956628881354
CD278-ICOS,0.7525080322409923
CD28,0.795301371556653
CD3,0.7416706269207681
CD34_y,0.5847042362830837
CD38_y,0.6876381785552649
CD4,0.48850996309516076
CD45RA,0.6525648561987136
CD45RO,0.49950910685033295
CD56,0.2091744926930371
CD57,0.2703971533576418
CD69,0.6006660690212201
CD79b,0.3745731901673023
CD8a,0.3499310793798139
HLA.DR,0.8208781882648832
