,0
CD11a,0.7329639540729336
CD11c,0.7125819059234134
CD123,0.6659020901407503
CD127-IL7Ra,0.6472229225659971
CD14_y,0.5926003668739201
CD16,0.21385605933496618
CD161,0.2960436724647
CD19,0.3721275794966402
CD197-CCR7,0.40253844509656184
CD25,0.2108436393269915
CD27,0.7615968962094728
CD278-ICOS,0.6280662916809996
CD28,0.7146777584286426
CD3,0.7288237793765333
CD34_y,0.5531066536859021
CD38_y,0.6130255027815303
CD4,0.4658151915850739
CD45RA,0.45140477934118817
CD45RO,0.4133749777143923
CD56,0.21955734226953966
CD57,0.22661931574650435
CD69,0.5131093246956058
CD79b,0.3425492338838237
CD8a,0.41458790067359097
HLA.DR,0.7366125750900421
