,mRNA,meth,miRNA,mrna_mrna,meth_meth,mirna_mirna,VCDN
0,0.09610715508460999,0.08480582386255264,0.04191536828875542,0.11055809259414673,0.08709307760000229,0.04061539098620415,0.3217630684375763
1,1.3012727499008179,1.2491388320922852,0.036917027086019516,0.8505260348320007,0.5888341069221497,0.0382097065448761,0.7014368772506714
2,0.1784655749797821,0.1716483235359192,0.03389807790517807,0.1306384801864624,0.11055092513561249,0.03629673644900322,0.4964686632156372
3,0.11912572383880615,0.11252066493034363,0.032461896538734436,0.07700064033269882,0.06846320629119873,0.034757230430841446,0.4634355306625366
4,0.2742236852645874,0.26835572719573975,0.031986672431230545,0.17915581166744232,0.132020503282547,0.03347475826740265,0.4516444802284241
5,0.19048519432544708,0.19753395020961761,0.031467583030462265,0.12944148480892181,0.11295068264007568,0.03248835727572441,0.5222076773643494
6,0.06373052299022675,0.07297106832265854,0.03131753206253052,0.04884488508105278,0.05517887324094772,0.0317545160651207,0.7360264658927917
7,0.05311094969511032,0.04440261423587799,0.03080635704100132,0.04038546606898308,0.03366853669285774,0.031131470575928688,0.9580325484275818
8,0.12182353436946869,0.10947827249765396,0.029933370649814606,0.0790812224149704,0.05821455642580986,0.030478840693831444,0.8576065301895142
9,0.11994023621082306,0.12466712296009064,0.02932916209101677,0.08198241889476776,0.06903798133134842,0.029980840161442757,0.7044728398323059
10,0.0754367783665657,0.08370871841907501,0.028361845761537552,0.052580129355192184,0.05198834091424942,0.029315248131752014,0.48982346057891846
11,0.04091633856296539,0.0446268655359745,0.027770444750785828,0.032083816826343536,0.0333329513669014,0.02863447368144989,0.6560887098312378
12,0.04088250920176506,0.03764240816235542,0.026942651718854904,0.03340166434645653,0.02733525261282921,0.02818930335342884,0.6485546231269836
13,0.05687052384018898,0.052720412611961365,0.026617346331477165,0.04452963173389435,0.03229459747672081,0.027680793777108192,0.4904143214225769
14,0.0637998878955841,0.062447018921375275,0.026161063462495804,0.045735858380794525,0.03727339208126068,0.027121461927890778,0.3638482093811035
15,0.054568953812122345,0.05497132986783981,0.025839349254965782,0.037294693291187286,0.03599783405661583,0.02672971971333027,0.3368024230003357
16,0.04303206130862236,0.041540004312992096,0.02529221400618553,0.02834971249103546,0.03166352957487106,0.026312068104743958,0.3757742941379547
17,0.03497704863548279,0.03405025973916054,0.02488032542169094,0.026611531153321266,0.027643391862511635,0.026022810488939285,0.397369921207428
18,0.03638992831110954,0.03419174253940582,0.024548307061195374,0.03122660517692566,0.025952495634555817,0.0256075169891119,0.3792243003845215
19,0.04267392307519913,0.040549132972955704,0.0237538143992424,0.03415139392018318,0.025832489132881165,0.02536218799650669,0.39889729022979736
20,0.04574064537882805,0.04188022017478943,0.023435134440660477,0.03128955513238907,0.028202300891280174,0.025066081434488297,0.40219175815582275
21,0.043338097631931305,0.039662327617406845,0.022991955280303955,0.025766078382730484,0.028964774683117867,0.02472502924501896,0.3430040776729584
22,0.03768833726644516,0.035121623426675797,0.02264626882970333,0.023283826187253,0.027795732021331787,0.02447785623371601,0.2959652841091156
23,0.03363582864403725,0.031143492087721825,0.02198365144431591,0.02449115365743637,0.02512466348707676,0.02415120042860508,0.2791481018066406
24,0.03262351453304291,0.029489556327462196,0.021871859207749367,0.025309951975941658,0.023294448852539062,0.023909932002425194,0.2824597954750061
25,0.03254950791597366,0.0306023508310318,0.021441996097564697,0.02518981136381626,0.022824140265583992,0.023680763319134712,0.2877533733844757
26,0.034637801349163055,0.03213493525981903,0.02100866287946701,0.023939402773976326,0.023328008130192757,0.023479120805859566,0.2939881682395935
27,0.03501909598708153,0.03233642503619194,0.020756490528583527,0.02165611833333969,0.024190830066800117,0.023254744708538055,0.2898973822593689
28,0.03397887200117111,0.03142587095499039,0.02050810679793358,0.020343437790870667,0.02447586879134178,0.02302386984229088,0.2723781168460846
29,0.03137665614485741,0.029262496158480644,0.020001986995339394,0.020583266392350197,0.023107854649424553,0.022851083427667618,0.24661187827587128
30,0.029901806265115738,0.02714897133409977,0.019572226330637932,0.021048901602625847,0.022439485415816307,0.022685468196868896,0.22957244515419006
31,0.02917548641562462,0.026715904474258423,0.019365709275007248,0.02136107347905636,0.021259145811200142,0.02253587916493416,0.22976548969745636
32,0.02988741733133793,0.025947540998458862,0.01883808709681034,0.020465467125177383,0.021067097783088684,0.022347595542669296,0.22539547085762024
33,0.029607655480504036,0.027262356132268906,0.018800372257828712,0.019323047250509262,0.02162356860935688,0.022124798968434334,0.22166618704795837
34,0.030006438493728638,0.027377385646104813,0.018589582294225693,0.018242159858345985,0.020773878321051598,0.02198849990963936,0.22046612203121185
35,0.030145592987537384,0.026437867432832718,0.018005497753620148,0.018724126741290092,0.020947478711605072,0.02186872623860836,0.2045455276966095
36,0.02891204133629799,0.025249987840652466,0.018002238124608994,0.01898513175547123,0.02025369554758072,0.021625157445669174,0.19435565173625946
37,0.02790105529129505,0.025359809398651123,0.0176126416772604,0.018659410998225212,0.019628355279564857,0.021479014307260513,0.18982167541980743
