,mRNA,meth,miRNA,mrna_mrna,meth_meth,mirna_mirna,VCDN,VCDN,VCDN
0,0.08052299171686172,0.14981137216091156,0.042762935161590576,0.050688643008470535,0.07096847146749496,0.03982415422797203,0.3222888708114624,0.3222888708114624,0.3222888708114624
1,1.3493411540985107,1.0494312047958374,0.03811377286911011,1.04766845703125,0.665403425693512,0.03747357428073883,0.9532356262207031,0.9532356262207031,0.9532356262207031
2,0.15710444748401642,0.19636394083499908,0.035143639892339706,0.12086747586727142,0.1081746369600296,0.03566046804189682,0.5156221389770508,0.5156221389770508,0.5156221389770508
3,0.12166737765073776,0.07685815542936325,0.03340555354952812,0.13420620560646057,0.06304038316011429,0.03419682756066322,0.5721845626831055,0.5721845626831055,0.5721845626831055
4,0.26745396852493286,0.21603068709373474,0.032548438757658005,0.23654957115650177,0.14390134811401367,0.033056095242500305,0.5326836109161377,0.5326836109161377,0.5326836109161377
5,0.17178204655647278,0.17269891500473022,0.032016631215810776,0.13339968025684357,0.10983183979988098,0.032164402306079865,0.5993604063987732,0.5993604063987732,0.5993604063987732
6,0.052435245364904404,0.06986688822507858,0.03180791437625885,0.038540348410606384,0.04727238416671753,0.031344737857580185,0.7615902423858643,0.7615902423858643,0.7615902423858643
7,0.06685656309127808,0.04247554764151573,0.031132766976952553,0.05268440768122673,0.031740929931402206,0.030806079506874084,0.7763383984565735,0.7763383984565735,0.7763383984565735
8,0.13288067281246185,0.09559902548789978,0.030488966032862663,0.09787455201148987,0.06500548869371414,0.030128847807645798,0.6381810307502747,0.6381810307502747,0.6381810307502747
9,0.11721208691596985,0.10634956508874893,0.029575394466519356,0.08763965219259262,0.07164042443037033,0.029490172863006592,0.4162447452545166,0.4162447452545166,0.4162447452545166
10,0.06341483443975449,0.07016303390264511,0.02840055711567402,0.050630372017621994,0.04814796894788742,0.02887464500963688,0.3351145386695862,0.3351145386695862,0.3351145386695862
11,0.0378616601228714,0.03949790447950363,0.02807788737118244,0.029305897653102875,0.02928224951028824,0.028317417949438095,0.47798770666122437,0.47798770666122437,0.47798770666122437
12,0.04799582436680794,0.04081180691719055,0.027375146746635437,0.035621851682662964,0.026036841794848442,0.02771594002842903,0.4350733160972595,0.4350733160972595,0.4350733160972595
