index,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.20191387559808613,0.07099742499461996,0.05434782608695652,0.005602868668758404,0.0,0.0,1.0,0.009569377990430622,0.0,0.0,0.0,1.0,0.009569377990430622,0.0
50,0.20095693779904306,0.0689638619282639,0.05434782608695652,0.005602868668758404,0.0,0.0,1.0,0.004784688995215311,0.0,0.0,0.0,1.0,0.004784688995215311,0.0
100,0.2,0.06763754045307444,0.05434782608695652,0.005631899076368551,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
150,0.2,0.06960865945045795,0.05434782608695652,0.00566123188405797,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
200,0.2,0.07294938917975567,0.05434782608695652,0.005907372400756144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
250,0.2,0.07627737226277373,0.05434782608695652,0.00617588932806324,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
300,0.20478468899521532,0.0932429502673405,0.05434782608695652,0.006587615283267457,0.0,0.028708133971291867,0.9904306220095693,0.004784688995215311,0.0,0.0,0.028708133971291867,0.9904306220095693,0.004784688995215311,0.0
350,0.2076555023923445,0.10396082563689331,0.059782608695652176,0.012855260681347638,0.0,0.0430622009569378,0.9952153110047847,0.0,0.0,0.0,0.0430622009569378,0.9952153110047847,0.0,0.0
400,0.21052631578947367,0.1149067407894866,0.08695652173913043,0.057824963916102805,0.0,0.06220095693779904,0.9904306220095693,0.0,0.0,0.0,0.06220095693779904,0.9904306220095693,0.0,0.0
450,0.22392344497607655,0.14343108504398827,0.08152173913043478,0.05111504265869819,0.0,0.15311004784688995,0.9665071770334929,0.0,0.0,0.0,0.15311004784688995,0.9665071770334929,0.0,0.0
500,0.22870813397129186,0.1485669074049952,0.08152173913043478,0.051108915239350024,0.0,0.14832535885167464,0.9952153110047847,0.0,0.0,0.0,0.14832535885167464,0.9952153110047847,0.0,0.0
550,0.23062200956937798,0.152264011868218,0.08152173913043478,0.051171774163808685,0.0,0.1674641148325359,0.9856459330143541,0.0,0.0,0.0,0.1674641148325359,0.9856459330143541,0.0,0.0
600,0.23062200956937798,0.15304134151140805,0.08695652173913043,0.05923925191346275,0.0,0.16267942583732056,0.9904306220095693,0.0,0.0,0.0,0.16267942583732056,0.9904306220095693,0.0,0.0
650,0.24114832535885167,0.16750348999158354,0.09782608695652174,0.07406032568296929,0.0,0.215311004784689,0.9856459330143541,0.0,0.004784688995215311,0.0,0.215311004784689,0.9856459330143541,0.0,0.004784688995215311
700,0.24114832535885167,0.16918924144391437,0.10869565217391304,0.08729487251226381,0.0,0.22009569377990432,0.9808612440191388,0.0,0.004784688995215311,0.0,0.22009569377990432,0.9808612440191388,0.0,0.004784688995215311
750,0.24784688995215312,0.1771311710677382,0.11413043478260869,0.09342486651411136,0.0,0.24880382775119617,0.9904306220095693,0.0,0.0,0.0,0.24880382775119617,0.9904306220095693,0.0,0.0
800,0.25645933014354066,0.19018902525038792,0.11413043478260869,0.09355766410833953,0.0,0.2966507177033493,0.9856459330143541,0.0,0.0,0.0,0.2966507177033493,0.9856459330143541,0.0,0.0
850,0.2602870813397129,0.19572141791623912,0.11956521739130435,0.09937909195597423,0.0,0.3253588516746411,0.9760765550239234,0.0,0.0,0.0,0.3253588516746411,0.9760765550239234,0.0,0.0
900,0.2583732057416268,0.19425159728416186,0.125,0.10491418003891276,0.0,0.2966507177033493,0.9952153110047847,0.0,0.0,0.0,0.2966507177033493,0.9952153110047847,0.0,0.0
950,0.261244019138756,0.19998316416270506,0.13043478260869565,0.11021127767957103,0.0,0.33014354066985646,0.9760765550239234,0.0,0.0,0.0,0.33014354066985646,0.9760765550239234,0.0,0.0
1000,0.2784688995215311,0.21723160586097584,0.13043478260869565,0.11028868520853692,0.0,0.40669856459330145,0.9808612440191388,0.0,0.004784688995215311,0.0,0.40669856459330145,0.9808612440191388,0.0,0.004784688995215311
