index,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.215311004784689,0.11244740626926203,0.05434782608695652,0.005602868668758404,0.0,0.22488038277511962,0.8516746411483254,0.0,0.0,0.0,0.22488038277511962,0.8516746411483254,0.0,0.0
50,0.24210526315789474,0.1350016002118901,0.05434782608695652,0.005602868668758404,0.0,0.24401913875598086,0.9665071770334929,0.0,0.0,0.0,0.24401913875598086,0.9665071770334929,0.0,0.0
100,0.4028708133971292,0.2763415977961432,0.23369565217391305,0.17908156005862313,0.15789473684210525,0.9138755980861244,0.9425837320574163,0.0,0.0,0.15789473684210525,0.9138755980861244,0.9425837320574163,0.0,0.0
150,0.5674641148325359,0.47405194474058115,0.30978260869565216,0.26986051691926727,0.861244019138756,0.9760765550239234,0.9569377990430622,0.0430622009569378,0.0,0.861244019138756,0.9760765550239234,0.9569377990430622,0.0430622009569378,0.0
200,0.6468899521531101,0.5827301682410827,0.42934782608695654,0.4503119578654608,0.8899521531100478,0.9856459330143541,0.9856459330143541,0.3684210526315789,0.004784688995215311,0.8899521531100478,0.9856459330143541,0.9856459330143541,0.3684210526315789,0.004784688995215311
250,0.755023923444976,0.7246007519328946,0.657608695652174,0.6573937948430456,0.9282296650717703,0.9952153110047847,0.9617224880382775,0.6507177033492823,0.23923444976076555,0.9282296650717703,0.9952153110047847,0.9617224880382775,0.6507177033492823,0.23923444976076555
300,0.8430622009569378,0.836002318789425,0.7717391304347826,0.7686997512648237,0.9234449760765551,0.9856459330143541,0.9808612440191388,0.7607655502392344,0.5645933014354066,0.9234449760765551,0.9856459330143541,0.9808612440191388,0.7607655502392344,0.5645933014354066
350,0.8813397129186603,0.8782793521534222,0.8043478260869565,0.8104362141066109,0.9234449760765551,0.9856459330143541,1.0,0.7799043062200957,0.7177033492822966,0.9234449760765551,0.9856459330143541,1.0,0.7799043062200957,0.7177033492822966
400,0.8966507177033493,0.89370640962255,0.8260869565217391,0.8291966637454218,0.9234449760765551,0.9856459330143541,0.9904306220095693,0.7081339712918661,0.8755980861244019,0.9234449760765551,0.9856459330143541,0.9904306220095693,0.7081339712918661,0.8755980861244019
450,0.9014354066985646,0.8990671489910975,0.8369565217391305,0.8397760593939756,0.937799043062201,0.9856459330143541,0.9904306220095693,0.722488038277512,0.8708133971291866,0.937799043062201,0.9856459330143541,0.9904306220095693,0.722488038277512,0.8708133971291866
500,0.9224880382775119,0.9211228395035429,0.8478260869565217,0.8500244807552272,0.9330143540669856,0.9856459330143541,0.9952153110047847,0.7942583732057417,0.9043062200956937,0.9330143540669856,0.9856459330143541,0.9952153110047847,0.7942583732057417,0.9043062200956937
550,0.9148325358851674,0.9126299158813077,0.8532608695652174,0.8564561762859206,0.9425837320574163,0.9904306220095693,0.9904306220095693,0.7416267942583732,0.9090909090909091,0.9425837320574163,0.9904306220095693,0.9904306220095693,0.7416267942583732,0.9090909090909091
600,0.9100478468899521,0.9079153387855926,0.8586956521739131,0.8620498106335802,0.9425837320574163,0.9808612440191388,1.0,0.7272727272727273,0.8995215311004785,0.9425837320574163,0.9808612440191388,1.0,0.7272727272727273,0.8995215311004785
650,0.9148325358851674,0.912957127586162,0.8586956521739131,0.8625899187687677,0.9425837320574163,0.9856459330143541,1.0,0.7464114832535885,0.8995215311004785,0.9425837320574163,0.9856459330143541,1.0,0.7464114832535885,0.8995215311004785
700,0.9186602870813397,0.9170433159559885,0.8532608695652174,0.8567739750138424,0.9330143540669856,0.9808612440191388,1.0,0.7607655502392344,0.9186602870813397,0.9330143540669856,0.9808612440191388,1.0,0.7607655502392344,0.9186602870813397
750,0.9129186602870814,0.9105069040012571,0.8641304347826086,0.8685040440996367,0.9425837320574163,0.9808612440191388,1.0,0.722488038277512,0.9186602870813397,0.9425837320574163,0.9808612440191388,1.0,0.722488038277512,0.9186602870813397
800,0.9215311004784689,0.9201788041000228,0.8586956521739131,0.8626035196687372,0.9425837320574163,0.9760765550239234,1.0,0.7799043062200957,0.9090909090909091,0.9425837320574163,0.9760765550239234,1.0,0.7799043062200957,0.9090909090909091
850,0.9224880382775119,0.9209981762881257,0.8695652173913043,0.8728596387859148,0.9425837320574163,0.9808612440191388,0.9952153110047847,0.7607655502392344,0.9330143540669856,0.9425837320574163,0.9808612440191388,0.9952153110047847,0.7607655502392344,0.9330143540669856
900,0.9244019138755981,0.9227248889785187,0.8641304347826086,0.8674611298908106,0.9425837320574163,0.9952153110047847,1.0,0.7655502392344498,0.9186602870813397,0.9425837320574163,0.9952153110047847,1.0,0.7655502392344498,0.9186602870813397
950,0.9339712918660287,0.9331921898833504,0.8641304347826086,0.8674611298908106,0.937799043062201,0.9808612440191388,1.0,0.8181818181818182,0.9330143540669856,0.937799043062201,0.9808612440191388,1.0,0.8181818181818182,0.9330143540669856
1000,0.9196172248803828,0.9182239533679272,0.8641304347826086,0.8685040440996367,0.937799043062201,0.9808612440191388,1.0,0.7703349282296651,0.9090909090909091,0.937799043062201,0.9808612440191388,1.0,0.7703349282296651,0.9090909090909091
