2020-12-08 19:02:56.991965 

No Pre-selection of Features
This run includes 3 GCNs - mRNA, DNA methylation, miRNA 


Training...
Epoch 0, Train loss: C1:2.15e-01, C2:1.38e-01, C3:6.62e-02, C:3.85e-01
Epoch 59, Train loss: C1:2.46e+02, C2:1.54e+03, C3:9.18e-03, C:2.62e-01
Epoch 60, Train loss: C1:2.07e+02, C2:1.16e+03, C3:8.94e-03, C:3.03e-01
Epoch 61, Train loss: C1:1.11e+02, C2:2.56e+03, C3:9.01e-03, C:3.01e-01
Epoch 62, Train loss: C1:4.64e+01, C2:2.76e+03, C3:9.04e-03, C:3.08e-01
Epoch 63, Train loss: C1:7.63e+01, C2:1.14e+03, C3:8.77e-03, C:3.04e-01
Epoch 64, Train loss: C1:1.34e+02, C2:9.28e+02, C3:8.76e-03, C:2.87e-01
Epoch 65, Train loss: C1:1.49e+02, C2:1.88e+03, C3:8.72e-03, C:2.77e-01
Epoch 66, Train loss: C1:5.81e+01, C2:1.62e+03, C3:8.56e-03, C:2.94e-01
Epoch 67, Train loss: C1:3.17e+01, C2:9.83e+02, C3:8.67e-03, C:2.99e-01
Epoch 68, Train loss: C1:6.05e+01, C2:8.52e+02, C3:8.37e-03, C:2.92e-01
Epoch 69, Train loss: C1:8.94e+01, C2:1.56e+03, C3:8.22e-03, C:2.68e-01
Epoch 70, Train loss: C1:8.65e+01, C2:1.46e+03, C3:8.19e-03, C:2.75e-01
Epoch 71, Train loss: C1:4.68e+01, C2:1.30e+03, C3:8.10e-03, C:3.06e-01
Epoch 72, Train loss: C1:2.04e+01, C2:1.69e+03, C3:8.02e-03, C:2.72e-01
Epoch 73, Train loss: C1:6.02e+01, C2:2.12e+03, C3:7.77e-03, C:2.85e-01
Epoch 74, Train loss: C1:7.40e+01, C2:1.71e+03, C3:7.67e-03, C:2.73e-01
Epoch 75, Train loss: C1:5.00e+01, C2:1.39e+03, C3:7.55e-03, C:2.70e-01
Epoch 76, Train loss: C1:4.23e+01, C2:1.67e+03, C3:7.45e-03, C:3.13e-01
Epoch 77, Train loss: C1:2.98e+01, C2:2.07e+03, C3:7.56e-03, C:2.68e-01
Epoch 78, Train loss: C1:3.86e+01, C2:2.04e+03, C3:7.02e-03, C:3.19e-01
Epoch 79, Train loss: C1:5.73e+01, C2:2.23e+03, C3:7.30e-03, C:3.19e-01
Epoch 80, Train loss: C1:4.31e+01, C2:2.66e+03, C3:7.29e-03, C:3.15e-01
Epoch 81, Train loss: C1:1.96e+01, C2:2.85e+03, C3:7.26e-03, C:2.90e-01
Epoch 82, Train loss: C1:2.88e+01, C2:2.40e+03, C3:7.42e-03, C:2.92e-01
Epoch 83, Train loss: C1:4.13e+01, C2:2.10e+03, C3:7.07e-03, C:2.93e-01
Epoch 84, Train loss: C1:3.67e+01, C2:1.58e+03, C3:7.16e-03, C:2.67e-01
Epoch 85, Train loss: C1:2.31e+01, C2:1.18e+03, C3:6.77e-03, C:2.81e-01
Epoch 86, Train loss: C1:2.06e+01, C2:9.96e+02, C3:7.05e-03, C:3.11e-01
Epoch 87, Train loss: C1:1.88e+01, C2:1.04e+03, C3:7.00e-03, C:2.78e-01
Epoch 88, Train loss: C1:2.75e+01, C2:1.14e+03, C3:6.83e-03, C:2.90e-01
Epoch 89, Train loss: C1:2.85e+01, C2:1.07e+03, C3:6.49e-03, C:2.93e-01
Epoch 90, Train loss: C1:2.42e+01, C2:1.01e+03, C3:6.44e-03, C:2.62e-01
Epoch 91, Train loss: C1:1.56e+01, C2:1.32e+03, C3:6.67e-03, C:2.58e-01
Epoch 92, Train loss: C1:2.10e+01, C2:1.49e+03, C3:6.56e-03, C:2.57e-01
Epoch 93, Train loss: C1:2.48e+01, C2:1.52e+03, C3:6.59e-03, C:2.63e-01
Epoch 94, Train loss: C1:1.89e+01, C2:1.49e+03, C3:6.36e-03, C:2.71e-01
Epoch 95, Train loss: C1:1.57e+01, C2:1.32e+03, C3:6.33e-03, C:2.76e-01
Epoch 96, Train loss: C1:2.29e+01, C2:7.50e+02, C3:6.14e-03, C:2.91e-01
Epoch 97, Train loss: C1:2.88e+01, C2:4.87e+02, C3:6.33e-03, C:2.61e-01
Epoch 98, Train loss: C1:2.33e+01, C2:7.43e+02, C3:6.08e-03, C:2.81e-01
Epoch 99, Train loss: C1:1.47e+01, C2:8.21e+02, C3:5.87e-03, C:2.61e-01
Epoch 100, Train loss: C1:1.58e+01, C2:8.71e+02, C3:6.07e-03, C:3.03e-01

Test: Epoch 100
Train Accuracy: 0.4772   Test ACC: 0.4837
Train F1: 0.3083         Test F1: 0.3154

Epoch 101, Train loss: C1:2.26e+01, C2:1.36e+03, C3:6.03e-03, C:2.54e-01
Epoch 102, Train loss: C1:2.57e+01, C2:2.11e+03, C3:6.05e-03, C:2.86e-01
Epoch 103, Train loss: C1:1.71e+01, C2:3.99e+03, C3:5.84e-03, C:2.61e-01
Epoch 104, Train loss: C1:1.55e+01, C2:8.13e+03, C3:6.12e-03, C:2.84e-01
Epoch 105, Train loss: C1:1.45e+01, C2:1.59e+04, C3:5.85e-03, C:2.52e-01
Epoch 106, Train loss: C1:2.19e+01, C2:2.67e+04, C3:5.50e-03, C:3.16e-01
Epoch 107, Train loss: C1:1.85e+01, C2:3.19e+04, C3:5.70e-03, C:2.53e-01
Epoch 108, Train loss: C1:1.23e+01, C2:2.29e+04, C3:5.81e-03, C:2.76e-01
Epoch 109, Train loss: C1:1.36e+01, C2:6.44e+03, C3:5.62e-03, C:2.93e-01
Epoch 110, Train loss: C1:1.82e+01, C2:2.48e+03, C3:5.57e-03, C:2.64e-01
Epoch 111, Train loss: C1:2.76e+01, C2:1.07e+04, C3:5.44e-03, C:2.55e-01
Epoch 112, Train loss: C1:3.83e+01, C2:1.36e+04, C3:5.66e-03, C:2.53e-01
Epoch 113, Train loss: C1:3.40e+01, C2:5.45e+03, C3:5.21e-03, C:2.72e-01
Epoch 114, Train loss: C1:2.12e+01, C2:1.15e+03, C3:5.31e-03, C:2.60e-01
Epoch 115, Train loss: C1:1.94e+01, C2:7.21e+03, C3:5.45e-03, C:2.54e-01
Epoch 116, Train loss: C1:1.45e+01, C2:8.24e+03, C3:5.38e-03, C:2.68e-01
Epoch 117, Train loss: C1:2.11e+01, C2:1.40e+03, C3:5.43e-03, C:2.55e-01
Epoch 118, Train loss: C1:3.38e+01, C2:2.38e+03, C3:5.21e-03, C:2.65e-01
Epoch 119, Train loss: C1:2.55e+01, C2:6.29e+03, C3:5.28e-03, C:2.56e-01
