,cerebellum,visualCortex,prefrontalCortex_csv,VCDN,VCDN
0,0.2699064612388611,0.27479004859924316,0.19980992376804352,0.3688804507255554,0.3688804507255554
1,0.1991342157125473,0.22274275124073029,0.13925231993198395,0.36669987440109253,0.36669987440109253
2,0.1766263097524643,0.19767647981643677,0.16734173893928528,0.36739087104797363,0.36739087104797363
3,0.1829991638660431,0.19643794000148773,0.16391585767269135,0.3664398193359375,0.3664398193359375
4,0.17701800167560577,0.18303470313549042,0.1487814486026764,0.36563047766685486,0.36563047766685486
5,0.18129737675189972,0.18941447138786316,0.11688819527626038,0.3664008677005768,0.3664008677005768
6,0.17497386038303375,0.1744232177734375,0.11612119525671005,0.36703410744667053,0.36703410744667053
7,0.1579652726650238,0.195366770029068,0.13119123876094818,0.36618322134017944,0.36618322134017944
8,0.14157642424106598,0.17505693435668945,0.12022992968559265,0.366118848323822,0.366118848323822
9,0.1465616375207901,0.1757824718952179,0.10921954363584518,0.36927974224090576,0.36927974224090576
10,0.13781224191188812,0.16396088898181915,0.10727781057357788,0.36729496717453003,0.36729496717453003
11,0.13159672915935516,0.1482832431793213,0.099296934902668,0.36682942509651184,0.36682942509651184
12,0.12844190001487732,0.15570217370986938,0.09680628776550293,0.367149293422699,0.367149293422699
13,0.12859979271888733,0.14332890510559082,0.0963057279586792,0.36770889163017273,0.36770889163017273
14,0.1203286349773407,0.14633704721927643,0.09386817365884781,0.3670571744441986,0.3670571744441986
15,0.12306077778339386,0.14482183754444122,0.09454352408647537,0.3675360679626465,0.3675360679626465
16,0.12235493957996368,0.13742917776107788,0.08951379358768463,0.3682137429714203,0.3682137429714203
17,0.11509797722101212,0.12793584167957306,0.0841289609670639,0.36731982231140137,0.36731982231140137
18,0.11035005748271942,0.14122174680233002,0.07904094457626343,0.3676184117794037,0.3676184117794037
19,0.10816004872322083,0.13131746649742126,0.0828036293387413,0.36634355783462524,0.36634355783462524
20,0.10652890801429749,0.13291306793689728,0.08412669599056244,0.36864757537841797,0.36864757537841797
21,0.10162265598773956,0.12469593435525894,0.07543285936117172,0.3668656647205353,0.3668656647205353
