,cerebellum,visualCortex,prefrontalCortex_csv,VCDN,VCDN,VCDN
0,0.23954102396965027,0.21067774295806885,0.22112135589122772,0.3700103759765625,0.3700103759765625,0.3700103759765625
1,0.18055444955825806,0.19413015246391296,0.14873363077640533,0.3698960840702057,0.3698960840702057,0.3698960840702057
2,0.17662611603736877,0.17107383906841278,0.1714453399181366,0.36914196610450745,0.36914196610450745,0.36914196610450745
3,0.16664119064807892,0.16197335720062256,0.15988676249980927,0.36949777603149414,0.36949777603149414,0.36949777603149414
4,0.1669088751077652,0.16865678131580353,0.15444862842559814,0.3683834671974182,0.3683834671974182,0.3683834671974182
5,0.16440780460834503,0.15668733417987823,0.11831209063529968,0.36793166399002075,0.36793166399002075,0.36793166399002075
6,0.1476687639951706,0.15400855243206024,0.12666453421115875,0.3682170808315277,0.3682170808315277,0.3682170808315277
7,0.14249834418296814,0.15414054691791534,0.12422524392604828,0.36785629391670227,0.36785629391670227,0.36785629391670227
8,0.1366734802722931,0.1557055115699768,0.12872931361198425,0.36824238300323486,0.36824238300323486,0.36824238300323486
9,0.12916769087314606,0.1481207013130188,0.11622647196054459,0.3686717450618744,0.3686717450618744,0.3686717450618744
10,0.12847016751766205,0.13736046850681305,0.10739228129386902,0.3680655062198639,0.3680655062198639,0.3680655062198639
11,0.12378984689712524,0.14002017676830292,0.10988956689834595,0.36762624979019165,0.36762624979019165,0.36762624979019165
12,0.11580384522676468,0.13444194197654724,0.09204617142677307,0.368756502866745,0.368756502866745,0.368756502866745
13,0.1154015064239502,0.12868939340114594,0.09660907089710236,0.36748549342155457,0.36748549342155457,0.36748549342155457
14,0.11773215979337692,0.12690111994743347,0.0973459780216217,0.36846891045570374,0.36846891045570374,0.36846891045570374
15,0.1106562465429306,0.12618251144886017,0.0923774465918541,0.36833831667900085,0.36833831667900085,0.36833831667900085
16,0.10561005771160126,0.12413335591554642,0.0919918417930603,0.36822041869163513,0.36822041869163513,0.36822041869163513
17,0.10442887991666794,0.12284696102142334,0.08879760652780533,0.3682957887649536,0.3682957887649536,0.3682957887649536
18,0.10044965893030167,0.11820733547210693,0.08170992136001587,0.3677447438240051,0.3677447438240051,0.3677447438240051
19,0.09984546154737473,0.11494053900241852,0.08033949881792068,0.36799198389053345,0.36799198389053345,0.36799198389053345
20,0.10513341426849365,0.11060874164104462,0.08010273426771164,0.36791545152664185,0.36791545152664185,0.36791545152664185
21,0.09297449886798859,0.10792745649814606,0.07602544128894806,0.3671102523803711,0.3671102523803711,0.3671102523803711
22,0.0957883819937706,0.09916502982378006,0.0724618062376976,0.36765527725219727,0.36765527725219727,0.36765527725219727
