,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal   ,train_acc_Alzheimer's,train_acc_Huntington's,test_acc_Normal   ,test_acc_Alzheimer's,test_acc_Huntington's
0,0.34451901565995524,0.1934027702901832,0.29333333333333333,0.13305841924398623,0.9932885906040269,0.040268456375838924,0.0,0.9932885906040269,0.040268456375838924,0.0
50,0.348993288590604,0.20184158885558406,0.29333333333333333,0.13305841924398623,0.9932885906040269,0.053691275167785234,0.0,0.9932885906040269,0.053691275167785234,0.0
100,0.4116331096196868,0.305164229262901,0.29333333333333333,0.13305841924398623,0.9932885906040269,0.24161073825503357,0.0,0.9932885906040269,0.24161073825503357,0.0
150,0.5861297539149888,0.4811594202898551,0.5733333333333334,0.5232753295668551,0.9932885906040269,0.7651006711409396,0.0,0.9932885906040269,0.7651006711409396,0.0
200,0.6263982102908278,0.5045600962471378,0.68,0.6132500929022668,0.9664429530201343,0.912751677852349,0.0,0.9664429530201343,0.912751677852349,0.0
250,0.6241610738255033,0.49979072553292814,0.7333333333333333,0.6468185654008439,0.9463087248322147,0.9261744966442953,0.0,0.9463087248322147,0.9261744966442953,0.0
300,0.6375838926174496,0.5106318479061106,0.7333333333333333,0.6468185654008439,0.9664429530201343,0.9463087248322147,0.0,0.9664429530201343,0.9463087248322147,0.0
350,0.6308724832214765,0.5051257616448641,0.7333333333333333,0.6468185654008439,0.9664429530201343,0.9261744966442953,0.0,0.9664429530201343,0.9261744966442953,0.0
400,0.639821029082774,0.5190259011094611,0.7333333333333333,0.6468185654008439,0.9798657718120806,0.9261744966442953,0.013422818791946308,0.9798657718120806,0.9261744966442953,0.013422818791946308
450,0.6935123042505593,0.6279041972520233,0.76,0.704931216931217,0.9664429530201343,0.9328859060402684,0.18120805369127516,0.9664429530201343,0.9328859060402684,0.18120805369127516
500,0.7740492170022372,0.7469106590775595,0.8266666666666667,0.8133770850423846,0.9731543624161074,0.9530201342281879,0.3959731543624161,0.9731543624161074,0.9530201342281879,0.3959731543624161
550,0.8456375838926175,0.8385008128050808,0.84,0.8304273504273504,0.959731543624161,0.959731543624161,0.6174496644295302,0.959731543624161,0.959731543624161,0.6174496644295302
600,0.9038031319910514,0.9030060945985006,0.84,0.8304273504273504,0.959731543624161,0.959731543624161,0.7919463087248322,0.959731543624161,0.959731543624161,0.7919463087248322
650,0.9440715883668904,0.944006130736254,0.84,0.8304273504273504,0.9865771812080537,0.9530201342281879,0.8926174496644296,0.9865771812080537,0.9530201342281879,0.8926174496644296
700,0.9619686800894854,0.9621213307033533,0.84,0.8304273504273504,0.9731543624161074,0.9664429530201343,0.9463087248322147,0.9731543624161074,0.9664429530201343,0.9463087248322147
750,0.9686800894854586,0.968815809972439,0.88,0.8791212781408861,0.9731543624161074,0.9731543624161074,0.959731543624161,0.9731543624161074,0.9731543624161074,0.959731543624161
800,0.9686800894854586,0.9688092574112714,0.88,0.8791212781408861,0.9798657718120806,0.9664429530201343,0.959731543624161,0.9798657718120806,0.9664429530201343,0.959731543624161
850,0.9776286353467561,0.9776496268744331,0.8933333333333333,0.8932126984126983,0.9798657718120806,0.959731543624161,0.9932885906040269,0.9798657718120806,0.959731543624161,0.9932885906040269
900,0.9821029082774049,0.9821325352197835,0.8933333333333333,0.8932126984126983,0.9865771812080537,0.9731543624161074,0.9865771812080537,0.9865771812080537,0.9731543624161074,0.9865771812080537
950,0.9843400447427293,0.9843398683978394,0.9066666666666666,0.9058018823967943,0.9798657718120806,0.9731543624161074,1.0,0.9798657718120806,0.9731543624161074,1.0
1000,0.9910514541387024,0.9910498415701822,0.8933333333333333,0.8932126984126983,1.0,0.9731543624161074,1.0,1.0,0.9731543624161074,1.0
