,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal   ,train_acc_Alzheimer's,train_acc_Huntington's,test_acc_Normal   ,test_acc_Alzheimer's,test_acc_Huntington's
0,0.31543624161073824,0.25070305075541593,0.29333333333333333,0.13305841924398623,0.5503355704697986,0.0,0.3959731543624161,0.5503355704697986,0.0,0.3959731543624161
50,0.33557046979865773,0.24846475818031832,0.29333333333333333,0.13305841924398623,0.7718120805369127,0.0,0.2348993288590604,0.7718120805369127,0.0,0.2348993288590604
100,0.465324384787472,0.371118691507041,0.38666666666666666,0.2537424600052452,0.7919463087248322,0.0,0.6040268456375839,0.7919463087248322,0.0,0.6040268456375839
150,0.5794183445190156,0.49545622420053204,0.4533333333333333,0.30682573099415206,0.87248322147651,0.053691275167785234,0.8120805369127517,0.87248322147651,0.053691275167785234,0.8120805369127517
200,0.639821029082774,0.5565941317615459,0.4666666666666667,0.3145438121047877,0.9328859060402684,0.09395973154362416,0.8926174496644296,0.9328859060402684,0.09395973154362416,0.8926174496644296
250,0.7315436241610739,0.678079783159609,0.48,0.323008547008547,0.9798657718120806,0.24161073825503357,0.9731543624161074,0.9798657718120806,0.24161073825503357,0.9731543624161074
300,0.7807606263982103,0.7443822021711091,0.56,0.4798777282973225,0.9932885906040269,0.348993288590604,1.0,0.9932885906040269,0.348993288590604,1.0
350,0.854586129753915,0.8433385252987341,0.6533333333333333,0.62714754449351,0.9865771812080537,0.5771812080536913,1.0,0.9865771812080537,0.5771812080536913,1.0
400,0.941834451901566,0.9408940220004683,0.8266666666666667,0.8260553041729513,0.9932885906040269,0.8322147651006712,1.0,0.9932885906040269,0.8322147651006712,1.0
450,0.9351230425055929,0.9338005354362872,0.8666666666666667,0.8667762862720846,0.9798657718120806,0.825503355704698,1.0,0.9798657718120806,0.825503355704698,1.0
500,0.9552572706935123,0.9548457717526669,0.88,0.8803430886707184,0.9731543624161074,0.8926174496644296,1.0,0.9731543624161074,0.8926174496644296,1.0
550,0.959731543624161,0.9592546297769313,0.8666666666666667,0.8667607843137254,0.9932885906040269,0.8859060402684564,1.0,0.9932885906040269,0.8859060402684564,1.0
600,0.9619686800894854,0.9615544023596659,0.9066666666666666,0.9071371516348474,1.0,0.8859060402684564,1.0,1.0,0.8859060402684564,1.0
650,0.970917225950783,0.9708617739418214,0.9066666666666666,0.9071371516348474,1.0,0.912751677852349,1.0,1.0,0.912751677852349,1.0
700,0.9753914988814317,0.9753690324568226,0.9066666666666666,0.9071371516348474,0.9932885906040269,0.9328859060402684,1.0,0.9932885906040269,0.9328859060402684,1.0
750,0.9843400447427293,0.9843313991699999,0.9066666666666666,0.9071371516348474,1.0,0.9530201342281879,1.0,1.0,0.9530201342281879,1.0
800,0.9753914988814317,0.9753690324568226,0.9066666666666666,0.9071371516348474,0.9932885906040269,0.9328859060402684,1.0,0.9932885906040269,0.9328859060402684,1.0
850,0.9798657718120806,0.9798546560757141,0.92,0.9201686102276743,0.9932885906040269,0.9463087248322147,1.0,0.9932885906040269,0.9463087248322147,1.0
900,0.9843400447427293,0.98433845749573,0.92,0.9201686102276743,0.9865771812080537,0.9664429530201343,1.0,0.9865771812080537,0.9664429530201343,1.0
950,0.9843400447427293,0.98433845749573,0.92,0.9201686102276743,0.9865771812080537,0.9664429530201343,1.0,0.9865771812080537,0.9664429530201343,1.0
1000,0.9798657718120806,0.9798637310659385,0.92,0.9201686102276743,0.9798657718120806,0.959731543624161,1.0,0.9798657718120806,0.959731543624161,1.0
