,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal   ,train_acc_Alzheimer's,train_acc_Huntington's,test_acc_Normal   ,test_acc_Alzheimer's,test_acc_Huntington's
0,0.3333333333333333,0.16666666666666666,0.29333333333333333,0.13305841924398623,1.0,0.0,0.0,1.0,0.0,0.0
50,0.3333333333333333,0.16666666666666666,0.29333333333333333,0.13305841924398623,1.0,0.0,0.0,1.0,0.0,0.0
100,0.33109619686800895,0.1658263305322129,0.29333333333333333,0.13305841924398623,0.9932885906040269,0.0,0.0,0.9932885906040269,0.0,0.0
150,0.35570469798657717,0.2144984259338041,0.3333333333333333,0.20467338559163867,0.9932885906040269,0.0,0.0738255033557047,0.9932885906040269,0.0,0.0738255033557047
200,0.4429530201342282,0.34770642201834867,0.3466666666666667,0.2241146953405018,0.9932885906040269,0.0,0.33557046979865773,0.9932885906040269,0.0,0.33557046979865773
250,0.49217002237136465,0.40674059578169164,0.38666666666666666,0.2732624798711755,1.0,0.006711409395973154,0.4697986577181208,1.0,0.006711409395973154,0.4697986577181208
300,0.5525727069351231,0.5135153992296849,0.5733333333333334,0.561038453806611,1.0,0.16778523489932887,0.4899328859060403,1.0,0.16778523489932887,0.4899328859060403
350,0.7069351230425056,0.6982679682198278,0.7066666666666667,0.7038272716961241,1.0,0.40939597315436244,0.7114093959731543,1.0,0.40939597315436244,0.7114093959731543
400,0.843400447427293,0.8425957704308915,0.7733333333333333,0.7699332040508512,1.0,0.6778523489932886,0.8523489932885906,1.0,0.6778523489932886,0.8523489932885906
450,0.901565995525727,0.9010708139745468,0.7866666666666666,0.782745447788926,1.0,0.7986577181208053,0.9060402684563759,1.0,0.7986577181208053,0.9060402684563759
500,0.9395973154362416,0.9395011577447456,0.84,0.8394428426812234,1.0,0.8590604026845637,0.959731543624161,1.0,0.8590604026845637,0.959731543624161
550,0.9530201342281879,0.9529140311095199,0.88,0.8784716032006673,1.0,0.8859060402684564,0.9731543624161074,1.0,0.8859060402684564,0.9731543624161074
600,0.9686800894854586,0.9686408182375923,0.88,0.8784716032006673,1.0,0.9194630872483222,0.9865771812080537,1.0,0.9194630872483222,0.9865771812080537
650,0.9731543624161074,0.9731321334769609,0.8933333333333333,0.8929850851138577,1.0,0.9328859060402684,0.9865771812080537,1.0,0.9328859060402684,0.9865771812080537
700,0.9798657718120806,0.9798473901919458,0.8933333333333333,0.8929850851138577,1.0,0.9395973154362416,1.0,1.0,0.9395973154362416,1.0
750,0.9798657718120806,0.9798473901919458,0.8933333333333333,0.8929850851138577,1.0,0.9395973154362416,1.0,1.0,0.9395973154362416,1.0
800,0.9865771812080537,0.9865717375630859,0.8933333333333333,0.8929850851138577,1.0,0.959731543624161,1.0,1.0,0.959731543624161,1.0
850,0.9821029082774049,0.9820949722289642,0.8933333333333333,0.8929850851138577,1.0,0.9530201342281879,0.9932885906040269,1.0,0.9530201342281879,0.9932885906040269
900,0.9865771812080537,0.9865717375630859,0.8933333333333333,0.8929850851138577,1.0,0.959731543624161,1.0,1.0,0.959731543624161,1.0
950,0.9843400447427293,0.9843351231815995,0.8933333333333333,0.8929850851138577,1.0,0.959731543624161,0.9932885906040269,1.0,0.959731543624161,0.9932885906040269
1000,0.9821029082774049,0.9820900007512584,0.9066666666666666,0.9071371516348474,1.0,0.9463087248322147,1.0,1.0,0.9463087248322147,1.0
