,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal   ,train_acc_Alzheimer's,train_acc_Huntington's,test_acc_Normal   ,test_acc_Alzheimer's,test_acc_Huntington's
0,0.31767337807606266,0.2861983059292476,0.21333333333333335,0.07501831501831502,0.1342281879194631,0.20134228187919462,0.6174496644295302,0.1342281879194631,0.20134228187919462,0.6174496644295302
50,0.4563758389261745,0.452318763326226,0.30666666666666664,0.2071978158351948,0.4429530201342282,0.31543624161073824,0.610738255033557,0.4429530201342282,0.31543624161073824,0.610738255033557
100,0.5324384787472036,0.5265427383074442,0.36,0.2895570079883805,0.2953020134228188,0.4161073825503356,0.8859060402684564,0.2953020134228188,0.4161073825503356,0.8859060402684564
150,0.6152125279642058,0.5992599720165298,0.44,0.39831417624521065,0.31543624161073824,0.5369127516778524,0.9932885906040269,0.31543624161073824,0.5369127516778524,0.9932885906040269
200,0.785234899328859,0.7804930282987392,0.6933333333333334,0.6761365286855484,0.7046979865771812,0.6644295302013423,0.9865771812080537,0.7046979865771812,0.6644295302013423,0.9865771812080537
250,0.9172259507829977,0.9164237536411118,0.8,0.7984615991924523,0.8926174496644296,0.8590604026845637,1.0,0.8926174496644296,0.8590604026845637,1.0
300,0.9440715883668904,0.9437400571187533,0.8533333333333334,0.853825641025641,0.912751677852349,0.9194630872483222,1.0,0.912751677852349,0.9194630872483222,1.0
350,0.9463087248322147,0.9459634255129348,0.88,0.879793856936714,0.9261744966442953,0.912751677852349,1.0,0.9261744966442953,0.912751677852349,1.0
400,0.941834451901566,0.9412386669425575,0.88,0.879793856936714,0.9463087248322147,0.8791946308724832,1.0,0.9463087248322147,0.8791946308724832,1.0
450,0.9619686800894854,0.9618937770065666,0.88,0.8797055792013775,0.959731543624161,0.9261744966442953,1.0,0.959731543624161,0.9261744966442953,1.0
500,0.9664429530201343,0.9663164751044743,0.9066666666666666,0.9071371516348474,0.9664429530201343,0.9328859060402684,1.0,0.9664429530201343,0.9328859060402684,1.0
550,0.9664429530201343,0.9662942170505712,0.92,0.9199365079365079,0.9731543624161074,0.9261744966442953,1.0,0.9731543624161074,0.9261744966442953,1.0
600,0.9753914988814317,0.9753200314224398,0.92,0.9199365079365079,0.9865771812080537,0.9395973154362416,1.0,0.9865771812080537,0.9395973154362416,1.0
650,0.9753914988814317,0.9753779129814283,0.92,0.9199365079365079,0.9865771812080537,0.9395973154362416,1.0,0.9865771812080537,0.9395973154362416,1.0
700,0.9776286353467561,0.9775805269088528,0.92,0.9199365079365079,0.9798657718120806,0.9530201342281879,1.0,0.9798657718120806,0.9530201342281879,1.0
750,0.9798657718120806,0.9797677293502547,0.92,0.9199365079365079,0.9932885906040269,0.9463087248322147,1.0,0.9932885906040269,0.9463087248322147,1.0
800,0.9821029082774049,0.9820996831403643,0.92,0.9199365079365079,0.9865771812080537,0.959731543624161,1.0,0.9865771812080537,0.959731543624161,1.0
850,0.9798657718120806,0.9798546560757141,0.92,0.9199365079365079,0.9932885906040269,0.9463087248322147,1.0,0.9932885906040269,0.9463087248322147,1.0
900,0.9798657718120806,0.9798162428733317,0.92,0.9199365079365079,0.9865771812080537,0.9530201342281879,1.0,0.9865771812080537,0.9530201342281879,1.0
950,0.9843400447427293,0.9843356349286805,0.92,0.9199365079365079,0.9932885906040269,0.959731543624161,1.0,0.9932885906040269,0.959731543624161,1.0
1000,0.9865771812080537,0.9865747623552731,0.92,0.9199365079365079,0.9932885906040269,0.9664429530201343,1.0,0.9932885906040269,0.9664429530201343,1.0
