,methylation
0,0.08919042348861694
1,1.4876587390899658
2,0.17626352608203888
3,0.14389798045158386
4,0.3116581439971924
5,0.1863633245229721
6,0.05336415767669678
7,0.0815969780087471
8,0.14726276695728302
9,0.1198531910777092
10,0.06314129382371902
11,0.039366964250802994
12,0.05034364387392998
13,0.06821288168430328
14,0.0691053718328476
15,0.05445042997598648
16,0.040162548422813416
17,0.03492945805191994
18,0.04103989899158478
19,0.04829180985689163
20,0.04951496794819832
21,0.04349527508020401
22,0.03698812425136566
23,0.032620374113321304
24,0.03263787925243378
25,0.03403589501976967
26,0.03633561730384827
27,0.03592333197593689
28,0.03440608084201813
29,0.031677305698394775
30,0.029713580384850502
31,0.02896883338689804
32,0.029637247323989868
33,0.03081377036869526
34,0.030642827972769737
35,0.029872938990592957
36,0.028404638171195984
37,0.027345804497599602
38,0.026670565828680992
39,0.026273388415575027
40,0.02666366659104824
41,0.02682563289999962
42,0.026528261601924896
43,0.025556161999702454
44,0.0251917764544487
45,0.024271370843052864
46,0.02456989698112011
47,0.024293622002005577
48,0.024006888270378113
49,0.02396983653306961
50,0.023886872455477715
51,0.022981658577919006
52,0.023120922967791557
53,0.02270592749118805
54,0.022505369037389755
55,0.02267025038599968
56,0.021625470370054245
57,0.02161640115082264
58,0.021295974031090736
59,0.021379772573709488
60,0.021377457305788994
61,0.02087484672665596
62,0.02062556892633438
63,0.020738236606121063
64,0.02059757336974144
65,0.019571227952837944
66,0.020198317244648933
67,0.019793827086687088
68,0.019402101635932922
69,0.01942051574587822
70,0.019165698438882828
71,0.018703637644648552
72,0.018665216863155365
73,0.018703553825616837
74,0.01888449676334858
75,0.01825527846813202
76,0.017852788791060448
77,0.018104618415236473
78,0.017554648220539093
79,0.01813095435500145
80,0.017648156732320786
81,0.01747538149356842
82,0.017455704510211945
83,0.017587093636393547
84,0.017581207677721977
85,0.01699189841747284
86,0.016997352242469788
87,0.01705740951001644
88,0.016288794577121735
89,0.016384316608309746
90,0.01637297309935093
91,0.01650819554924965
92,0.015991007909178734
93,0.01581915281713009
