,methylation
0,0.09412947297096252
1,1.3645099401474
2,0.19356860220432281
3,0.11863034218549728
4,0.2787858545780182
5,0.1775187999010086
6,0.053077276796102524
7,0.06579648703336716
8,0.13384489715099335
9,0.12204660475254059
10,0.06853528320789337
11,0.03990943357348442
12,0.04544583708047867
13,0.06340555846691132
14,0.06630273908376694
15,0.05248653143644333
16,0.03904344141483307
17,0.033661630004644394
18,0.03780653327703476
19,0.04368080571293831
20,0.04544845595955849
21,0.04219851270318031
22,0.03593340143561363
23,0.03212141618132591
24,0.031011806800961494
25,0.032601501792669296
26,0.03366560861468315
27,0.03407664597034454
28,0.032717447727918625
29,0.03128877282142639
30,0.028913194313645363
31,0.028541574254631996
32,0.028976500034332275
33,0.029461650177836418
34,0.029631057754158974
35,0.02887699194252491
36,0.028284534811973572
37,0.02764778584241867
38,0.026639798656105995
39,0.026400409638881683
40,0.026570972055196762
41,0.026836708188056946
42,0.026121582835912704
43,0.02563737891614437
44,0.024799367412924767
45,0.024786382913589478
46,0.024525094777345657
47,0.024527639150619507
48,0.024687306955456734
49,0.024189956486225128
50,0.02364077791571617
51,0.023566361516714096
52,0.02331484667956829
53,0.02323860488831997
54,0.022878192365169525
55,0.022546499967575073
56,0.02240682765841484
57,0.02197950892150402
58,0.02202094905078411
59,0.02169244922697544
60,0.021663848310709
61,0.021613189950585365
62,0.021327462047338486
63,0.021253354847431183
64,0.02106107957661152
65,0.02065919153392315
66,0.02066885493695736
67,0.020194772630929947
68,0.019902290776371956
69,0.020140748471021652
70,0.01953708939254284
71,0.019064249470829964
72,0.019604310393333435
73,0.019166279584169388
74,0.019178049638867378
75,0.019053945317864418
76,0.01896091178059578
77,0.01873345859348774
78,0.01849513128399849
79,0.018168121576309204
80,0.01813243143260479
81,0.018204569816589355
82,0.017634646967053413
83,0.01775439642369747
84,0.017679456621408463
85,0.01742388680577278
86,0.017590217292308807
87,0.017366016283631325
88,0.017018286511301994
89,0.017056943848729134
90,0.017207905650138855
91,0.017010275274515152
92,0.017128098756074905
93,0.016883309930562973
94,0.01660620979964733
95,0.0161959920078516
96,0.01614397019147873
97,0.01633560098707676
98,0.015971776098012924
99,0.015861419960856438
100,0.01571490988135338
101,0.015593334101140499
102,0.015773026272654533
103,0.015534184873104095
104,0.015492255799472332
105,0.015678338706493378
106,0.01512099988758564
107,0.015333885326981544
108,0.01511467806994915
109,0.014695105142891407
110,0.014930278062820435
111,0.015080989338457584
112,0.014307541772723198
113,0.014570183120667934
114,0.01445852592587471
115,0.014804593287408352
116,0.014770269393920898
117,0.014387530274689198
118,0.014218389056622982
119,0.0139510752633214
120,0.014129659160971642
121,0.01389995776116848
122,0.01381904911249876
123,0.013948850333690643
124,0.01421437133103609
125,0.013913323171436787
126,0.013512603007256985
127,0.013705301098525524
128,0.013521885499358177
129,0.013226556591689587
130,0.013032075949013233
131,0.01344867143779993
132,0.01279371790587902
133,0.012965952046215534
134,0.01327271293848753
135,0.013110174797475338
136,0.013357463292777538
137,0.013462125323712826
138,0.01316447276622057
139,0.012742440216243267
140,0.012861371040344238
141,0.012947163544595242
142,0.012709381990134716
143,0.01228243950754404
144,0.012410074472427368
145,0.012800171971321106
146,0.012764619663357735
147,0.012277044355869293
148,0.01247640885412693
149,0.012293905019760132
150,0.01183144748210907
151,0.012031322345137596
152,0.011882892809808254
153,0.011732233688235283
154,0.012223640456795692
155,0.012135554105043411
156,0.012244700454175472
157,0.012460289523005486
158,0.011697547510266304
159,0.011556172743439674
160,0.011770466342568398
161,0.012387302704155445
162,0.012425039894878864
163,0.011816274374723434
164,0.01157771609723568
165,0.01172582432627678
166,0.01191803626716137
167,0.011658085510134697
168,0.011000244878232479
169,0.011483704671263695
170,0.011266693472862244
171,0.011271999217569828
172,0.0110939247533679
173,0.011348789557814598
174,0.011270612478256226
175,0.011197994463145733
176,0.010926708579063416
177,0.010926908813416958
178,0.011044210754334927
179,0.011092104017734528
180,0.011064868420362473
181,0.011223054490983486
182,0.010823213495314121
183,0.010575014166533947
184,0.010505794547498226
185,0.010491058230400085
186,0.010329759679734707
187,0.010661453008651733
188,0.010505346581339836
189,0.010652533732354641
190,0.010800422169268131
