,0
CD11a,0.6841490552754607
CD11c,0.37407242287663506
CD123,0.6624374050502043
CD127-IL7Ra,0.389659188740238
CD14_y,0.18626303395427268
CD16,0.8122360170237175
CD161,0.5682130725248501
CD19,0.8768583893126982
CD197-CCR7,0.3714482416669002
CD25,0.12928309283148706
CD27,0.452035430348413
CD278-ICOS,0.40085048703174553
CD28,0.449270828723456
CD3,0.48517193775917744
CD34_y,0.6125534607523104
CD38_y,0.4109566324491533
CD4,0.5258434034411761
CD45RA,0.5845890634721648
CD45RO,0.369947753281017
CD56,0.6907760798465115
CD57,0.5012708210691217
CD69,0.24463057471693492
CD79b,0.7114314157924948
CD8a,0.3824722850933547
HLA.DR,0.5279945187610531
