,0
CD11a,0.7435890925131008
CD11c,0.8902860344134131
CD123,0.5909696861916589
CD127-IL7Ra,0.6576093390332518
CD14_y,0.880216363454452
CD16,0.6682513289571311
CD161,0.6115686089249716
CD19,0.8350469819206021
CD197-CCR7,0.35950869926701157
CD25,0.34605155410921323
CD27,0.7490457933389125
CD278-ICOS,0.6202707032380633
CD28,0.7028989552043872
CD3,0.7033930332852831
CD34_y,0.5683501605244998
CD38_y,0.5504016639049635
CD4,0.5871554410103488
CD45RA,0.6041361793790335
CD45RO,0.4186442154398626
CD56,0.6902883013720322
CD57,0.428095824699569
CD69,0.5808667508484758
CD79b,0.6954280168676785
CD8a,0.5581006322670242
HLA.DR,0.6554029078215571
