,0
CD11a,0.8362034009475428
CD11c,0.6828589647013799
CD123,0.680378912558452
CD127-IL7Ra,0.7324749774926046
CD14_y,0.5862362545685242
CD16,0.05895101503850061
CD161,0.23761517985910716
CD19,0.28424263026542235
CD197-CCR7,0.38662449048833253
CD25,0.22724365746614478
CD27,0.7456263536328761
CD278-ICOS,0.7046735804919395
CD28,0.740985067220617
CD3,0.6455461612134756
CD34_y,0.5678126738212405
CD38_y,0.6678710486713543
CD4,0.47946166267485696
CD45RA,0.6474531299997129
CD45RO,0.21998573273217978
CD56,0.05534860194678696
CD57,0.10487765912968468
CD69,0.5645893064621795
CD79b,0.24248023868608215
CD8a,0.1759516481492397
HLA.DR,0.6710687950988297
