,0
CD11a,0.8039050710619157
CD11c,0.733394965453738
CD123,0.6741446497918592
CD127-IL7Ra,0.717957494266654
CD14_y,0.5784831746134562
CD16,0.18601139175269937
CD161,0.2435505545126452
CD19,0.36786212449234323
CD197-CCR7,0.3703579765238613
CD25,0.20158747441994673
CD27,0.7062950077424335
CD278-ICOS,0.6973806632747579
CD28,0.715288159842554
CD3,0.7312810792552448
CD34_y,0.5223887182206304
CD38_y,0.6535355475866592
CD4,0.5606188313263197
CD45RA,0.542636288134243
CD45RO,0.2641091553623805
CD56,0.1908910842990762
CD57,0.18614050564330537
CD69,0.37750303975141714
CD79b,0.3408151734730834
CD8a,0.2411912081665809
HLA.DR,0.818633994491337
