,0
CD11a,0.7670234782732723
CD11c,0.776460913348703
CD123,0.6894800933040174
CD127-IL7Ra,0.7654018188808922
CD14_y,0.6254482815363362
CD16,0.25160612994727394
CD161,0.2854601587857722
CD19,0.3471863131558908
CD197-CCR7,0.3791723727000953
CD25,0.2981112549011139
CD27,0.8259109598140298
CD278-ICOS,0.7612795796300929
CD28,0.7791364865209625
CD3,0.72475930854171
CD34_y,0.583151292743867
CD38_y,0.6681149827105846
CD4,0.4783227163247738
CD45RA,0.680710253790055
CD45RO,0.4810599359190215
CD56,0.25461205698286926
CD57,0.2779855445104526
CD69,0.6309458298980882
CD79b,0.30074291593332925
CD8a,0.2748198726292816
HLA.DR,0.8112055176377366
