,mRNA,methylation,miRNA,meth_mrna,meth_mirna,mrna_mirna,VCDN,VCDN
0,0.14838650822639465,0.07425422221422195,0.041512563824653625,0.08525818586349487,0.04022319242358208,0.043364204466342926,0.32192182540893555,0.32192182540893555
1,1.0852411985397339,1.476704478263855,0.037252504378557205,0.7359191179275513,0.03184419497847557,0.052474457770586014,0.9724042415618896,0.9724042415618896
2,0.17223219573497772,0.16314426064491272,0.03487416356801987,0.10882872343063354,0.030101293697953224,0.03494524583220482,0.6090111136436462,0.6090111136436462
3,0.08611027151346207,0.14898142218589783,0.03370576724410057,0.07054018974304199,0.026821887120604515,0.028290843591094017,0.7411312460899353,0.7411312460899353
4,0.21872763335704803,0.3034384250640869,0.03279909864068031,0.15077176690101624,0.02428523637354374,0.030611203983426094,0.6521896719932556,0.6521896719932556
5,0.15581543743610382,0.1782122552394867,0.03226134181022644,0.11132493615150452,0.023045804351568222,0.030721837654709816,0.7089605927467346,0.7089605927467346
6,0.057280413806438446,0.05125981196761131,0.032275427132844925,0.04377388209104538,0.02263563498854637,0.027830803766846657,1.0626012086868286,1.0626012086868286
7,0.05143043398857117,0.07016520202159882,0.03175913169980049,0.03199412673711777,0.021707575768232346,0.025030238553881645,0.9234181046485901,0.9234181046485901
8,0.10509827733039856,0.13309301435947418,0.030463656410574913,0.06926941126585007,0.02092268504202366,0.023453524336218834,0.9655025005340576,0.9655025005340576
9,0.10029850155115128,0.1162908524274826,0.029894353821873665,0.0718156099319458,0.01997986063361168,0.02367142215371132,0.664763331413269,0.664763331413269
10,0.06090454012155533,0.0668070837855339,0.0289057157933712,0.047063738107681274,0.01914239674806595,0.02388645149767399,0.41384798288345337,0.41384798288345337
11,0.037191905081272125,0.03822096437215805,0.02810053899884224,0.027347980067133904,0.018695853650569916,0.023338429629802704,0.3260040283203125,0.3260040283203125
12,0.04188917577266693,0.04493575543165207,0.027637457475066185,0.028106287121772766,0.018174512311816216,0.022200176492333412,0.35575610399246216,0.35575610399246216
13,0.05613946542143822,0.06462876498699188,0.027355613186955452,0.03785655274987221,0.017734313383698463,0.021319467574357986,0.39399582147598267,0.39399582147598267
14,0.056583669036626816,0.06652752310037613,0.026684552431106567,0.04157398268580437,0.017369944602251053,0.02082870341837406,0.3505660891532898,0.3505660891532898
15,0.046285372227430344,0.052328433841466904,0.02638193778693676,0.03370251506567001,0.016769155859947205,0.02083328366279602,0.32143381237983704,0.32143381237983704
16,0.0368325300514698,0.03907056152820587,0.025852585211396217,0.026279758661985397,0.01662440411746502,0.02058360166847706,0.3008248209953308,0.3008248209953308
17,0.03388282656669617,0.034310903400182724,0.025352012366056442,0.023292500525712967,0.01651020161807537,0.020402414724230766,0.23481175303459167,0.23481175303459167
18,0.038118086755275726,0.04030505195260048,0.02464400604367256,0.025480687618255615,0.016158783808350563,0.01981230638921261,0.23277562856674194,0.23277562856674194
19,0.04207977280020714,0.046587828546762466,0.024024302139878273,0.028224358335137367,0.015775486826896667,0.019237937405705452,0.2724020183086395,0.2724020183086395
20,0.04099224507808685,0.047136787325143814,0.023759186267852783,0.028799371793866158,0.015324551612138748,0.018961383029818535,0.2542591989040375,0.2542591989040375
21,0.03634166717529297,0.042085256427526474,0.023379366844892502,0.027008038014173508,0.015037569217383862,0.01896377094089985,0.20809467136859894,0.20809467136859894
22,0.03263285756111145,0.03487679734826088,0.023007547482848167,0.023458344861865044,0.014872697181999683,0.018827389925718307,0.19327396154403687,0.19327396154403687
23,0.03073970600962639,0.032088685780763626,0.02261020615696907,0.021738465875387192,0.014533321373164654,0.01842491514980793,0.20932744443416595,0.20932744443416595
24,0.03187241405248642,0.0324309840798378,0.0221787691116333,0.022055940702557564,0.014310108497738838,0.018155677244067192,0.20204485952854156,0.20204485952854156
25,0.03350957855582237,0.03478829562664032,0.021930787712335587,0.022565806284546852,0.014168319292366505,0.01793278567492962,0.1864132136106491,0.1864132136106491
26,0.03318651765584946,0.035305529832839966,0.021341795101761818,0.023418674245476723,0.014002231881022453,0.017805760726332664,0.17936788499355316,0.17936788499355316
27,0.03161751106381416,0.035649728029966354,0.02100575529038906,0.02284804917871952,0.013971763662993908,0.01786091737449169,0.16966140270233154,0.16966140270233154
28,0.029724061489105225,0.03318248316645622,0.02056828700006008,0.021092457696795464,0.013659419491887093,0.017487261444330215,0.15552818775177002,0.15552818775177002
