,mRNA,methylation,miRNA,meth_mrna,meth_mirna,mrna_mirna,VCDN,VCDN,VCDN
0,0.12862960994243622,0.12970370054244995,0.04147252067923546,0.08011027425527573,0.04322156682610512,0.043885987251996994,0.3218667209148407,0.3218667209148407,0.3218667209148407
1,1.3550819158554077,1.3581799268722534,0.03750387951731682,0.6469539999961853,0.03100871853530407,0.050313737243413925,2.276798963546753,2.276798963546753,2.276798963546753
2,0.18285785615444183,0.20391236245632172,0.034616462886333466,0.09269788861274719,0.030091946944594383,0.036329858005046844,0.5484872460365295,0.5484872460365295,0.5484872460365295
3,0.11712735146284103,0.11011188477277756,0.032800111919641495,0.0751693844795227,0.027051124721765518,0.029391363263130188,0.536898136138916,0.536898136138916,0.536898136138916
4,0.28090524673461914,0.29806584119796753,0.0321168415248394,0.15455083549022675,0.02438053861260414,0.029539471492171288,0.6346333622932434,0.6346333622932434,0.6346333622932434
5,0.1985897570848465,0.2100173979997635,0.03174237161874771,0.09581165760755539,0.022814471274614334,0.03068479709327221,0.7883205413818359,0.7883205413818359,0.7883205413818359
6,0.06940293312072754,0.0745702013373375,0.03132457286119461,0.03522385656833649,0.02212677337229252,0.02861194498836994,0.944883406162262,0.944883406162262,0.944883406162262
7,0.04733804613351822,0.04880794137716293,0.03043607622385025,0.03814777359366417,0.021734191104769707,0.026000192388892174,1.1234447956085205,1.1234447956085205,1.1234447956085205
8,0.11981483548879623,0.11793185770511627,0.02975451387465,0.06991541385650635,0.020920298993587494,0.023982439190149307,0.7666311860084534,0.7666311860084534,0.7666311860084534
9,0.12665940821170807,0.12894144654273987,0.0293035376816988,0.059833403676748276,0.02003258839249611,0.02356323041021824,0.7508991360664368,0.7508991360664368,0.7508991360664368
10,0.07895012199878693,0.08243566006422043,0.02809571661055088,0.034818388521671295,0.01912524178624153,0.02420942671597004,0.5214217901229858,0.5214217901229858,0.5214217901229858
11,0.042864199727773666,0.0443093478679657,0.02771836146712303,0.024459758773446083,0.01830108091235161,0.0239820946007967,0.3251059651374817,0.3251059651374817,0.3251059651374817
12,0.04159348085522652,0.03939391300082207,0.02682272531092167,0.028988169506192207,0.017875395715236664,0.022665956988930702,0.3056930899620056,0.3056930899620056,0.3056930899620056
13,0.05843066796660423,0.056586023420095444,0.026417670771479607,0.03729531541466713,0.01760276034474373,0.021778400987386703,0.31602632999420166,0.31602632999420166,0.31602632999420166
14,0.0667734444141388,0.0640707015991211,0.02591889537870884,0.03508331626653671,0.017389263957738876,0.021336903795599937,0.32871013879776,0.32871013879776,0.32871013879776
15,0.05757123976945877,0.056388676166534424,0.025378627702593803,0.027694398537278175,0.017036596313118935,0.021139275282621384,0.3429039418697357,0.3429039418697357,0.3429039418697357
16,0.042410507798194885,0.04200369492173195,0.0249798446893692,0.022085189819335938,0.01662270911037922,0.021201061084866524,0.3262243866920471,0.3262243866920471,0.3262243866920471
17,0.03586085885763168,0.03417816758155823,0.024601494893431664,0.021449526771903038,0.01627340354025364,0.020855730399489403,0.27073174715042114,0.27073174715042114,0.27073174715042114
18,0.037651170045137405,0.03485947474837303,0.023978933691978455,0.024670813232660294,0.016113316640257835,0.020239166915416718,0.23041458427906036,0.23041458427906036,0.23041458427906036
19,0.04309844225645065,0.039919983595609665,0.02377982623875141,0.026779092848300934,0.01578185334801674,0.01962876133620739,0.22665658593177795,0.22665658593177795,0.22665658593177795
20,0.04602482169866562,0.04339964687824249,0.023378757759928703,0.02479308284819126,0.015530189499258995,0.0192997008562088,0.23376066982746124,0.23376066982746124,0.23376066982746124
21,0.04327613487839699,0.04254009947180748,0.022740274667739868,0.021619148552417755,0.015260511077940464,0.01902591809630394,0.2439272403717041,0.2439272403717041,0.2439272403717041
22,0.036822427064180374,0.03630581870675087,0.022278474643826485,0.01905631087720394,0.015035388059914112,0.018882671371102333,0.22879023849964142,0.22879023849964142,0.22879023849964142
23,0.033347439020872116,0.032039936631917953,0.02173767052590847,0.018228666856884956,0.014605489559471607,0.01881113275885582,0.2218407690525055,0.2218407690525055,0.2218407690525055
24,0.0324423685669899,0.03039635345339775,0.02136160619556904,0.01916748285293579,0.014532527886331081,0.018384957686066628,0.20865391194820404,0.20865391194820404,0.20865391194820404
25,0.03450162336230278,0.030725426971912384,0.021004341542720795,0.020211180672049522,0.014319357462227345,0.017962809652090073,0.1911478340625763,0.1911478340625763,0.1911478340625763
26,0.03531729429960251,0.03221985697746277,0.020892005413770676,0.019961411133408546,0.014250656589865685,0.018051860854029655,0.18689146637916565,0.18689146637916565,0.18689146637916565
27,0.035823676735162735,0.033629290759563446,0.02036391571164131,0.019476311281323433,0.01409175992012024,0.017551006749272346,0.18660868704319,0.18660868704319,0.18660868704319
