,lr,weight_decay,dropout,adj_parameter,tr_acc,tr_F1,test_acc,test_F1
0,0.0001,0.0005,0.1,2,0.9980861244019139,0.9980861244019139,0.842391304347826,0.8387364611282798
1,0.0001,0.0005,0.1,5,1.0,1.0,0.8532608695652174,0.852033767543765
2,0.0001,0.0005,0.1,8,0.9971291866028709,0.9971291811259858,0.8478260869565217,0.8464188467594866
3,0.0001,0.0005,0.25,2,0.9980861244019139,0.9980861244019139,0.8532608695652174,0.8498609607199864
4,0.0001,0.0005,0.25,5,0.9971291866028709,0.9971268863111198,0.842391304347826,0.8410454092638886
5,0.0001,0.0005,0.25,8,0.9980861244019139,0.9980861189250289,0.8369565217391305,0.8335938680215627
6,0.0001,0.0005,0.5,2,0.999043062200957,0.9990430567240719,0.8478260869565217,0.8470278249778357
7,0.0001,0.0005,0.5,5,0.9971291866028709,0.9971291536625665,0.8532608695652174,0.8513537005229374
8,0.0001,0.0005,0.5,8,0.999043062200957,0.9990430567240719,0.8532608695652174,0.8534726543216697
9,0.0001,0.0005,0.75,2,0.9961722488038277,0.9961722268962873,0.8532608695652174,0.8499902294276203
10,0.0001,0.0005,0.75,5,0.9980861244019139,0.9980861189250289,0.842391304347826,0.8396608086235138
11,0.0001,0.0005,0.75,8,0.9933014354066986,0.9932967854514847,0.8532608695652174,0.8520785103679556
12,0.0001,0.001,0.1,2,0.9971291866028709,0.9971314486346673,0.842391304347826,0.8403359136949394
13,0.0001,0.001,0.1,5,0.9980861244019139,0.9980861189250289,0.842391304347826,0.8428328027061984
14,0.0001,0.001,0.1,8,0.9971291866028709,0.9971291536625665,0.8478260869565217,0.8458584533995023
15,0.0001,0.001,0.25,2,0.9942583732057416,0.9942580727426293,0.8586956521739131,0.8571347535444876
16,0.0001,0.001,0.25,5,0.9942583732057416,0.9942580727426293,0.8369565217391305,0.8354443008245426
17,0.0001,0.001,0.25,8,0.9961722488038277,0.996174510835624,0.842391304347826,0.8410945493611399
18,0.0001,0.001,0.5,2,0.9933014354066986,0.9932918929163774,0.8315217391304348,0.8333990871890171
19,0.0001,0.001,0.5,5,0.9952153110047847,0.9952059832340668,0.8206521739130435,0.8214221952170913
20,0.0001,0.001,0.5,8,0.9923444976076555,0.9923351816574157,0.8369565217391305,0.8378968253968254
21,0.0001,0.001,0.75,2,0.9827751196172249,0.9827669364023758,0.842391304347826,0.8431342911857165
22,0.0001,0.001,0.75,5,0.9913875598086125,0.9913867549227937,0.8315217391304348,0.8333990871890171
23,0.0001,0.001,0.75,8,0.9885167464114832,0.9884933906673038,0.8532608695652174,0.8544490194027554
24,0.0001,0.003,0.1,2,0.9789473684210527,0.9788798092751576,0.8260869565217391,0.8290760555161504
25,0.0001,0.003,0.1,5,0.9722488038277513,0.9721212925680176,0.8206521739130435,0.8239203679750574
26,0.0001,0.003,0.1,8,0.9732057416267943,0.9730506369123358,0.842391304347826,0.8447572821290055
27,0.0001,0.003,0.25,2,0.9779904306220095,0.9779168359891839,0.8260869565217391,0.8288645570831605
28,0.0001,0.003,0.25,5,0.9712918660287081,0.9711552574243012,0.8369565217391305,0.8391501364702264
29,0.0001,0.003,0.25,8,0.9779904306220095,0.9779791455605653,0.8315217391304348,0.8337471889055472
30,0.0001,0.003,0.5,2,0.9712918660287081,0.971174553259157,0.8369565217391305,0.8396943694497045
31,0.0001,0.003,0.5,5,0.9789473684210527,0.9789044119886594,0.842391304347826,0.8445400768548237
32,0.0001,0.003,0.5,8,0.9712918660287081,0.9711382534051156,0.8315217391304348,0.8347036593593024
33,0.0001,0.003,0.75,2,0.9645933014354067,0.9644053575057292,0.842391304347826,0.8440155609008684
34,0.0001,0.003,0.75,5,0.9626794258373206,0.962361324655677,0.8369565217391305,0.8403487698846991
35,0.0001,0.003,0.75,8,0.9578947368421052,0.9577273959336,0.8478260869565217,0.8503095234154503
36,0.0001,0.005,0.1,2,0.9215311004784689,0.9185735164019613,0.75,0.7589235748498508
37,0.0001,0.005,0.1,5,0.9301435406698565,0.9278898759991712,0.8260869565217391,0.8323614174668953
38,0.0001,0.005,0.1,8,0.9301435406698565,0.928311757232153,0.8315217391304348,0.8366451448325186
39,0.0001,0.005,0.25,2,0.9157894736842105,0.9124772634216611,0.8097826086956522,0.8165179658799885
40,0.0001,0.005,0.25,5,0.9253588516746412,0.922939094725124,0.8260869565217391,0.8321078682762888
41,0.0001,0.005,0.25,8,0.907177033492823,0.9018674209352325,0.7391304347826086,0.7442971045390819
42,0.0001,0.005,0.5,2,0.9263157894736842,0.923974860525594,0.8152173913043478,0.8202569009934614
43,0.0001,0.005,0.5,5,0.9196172248803828,0.916984314046514,0.8315217391304348,0.8370598041795093
44,0.0001,0.005,0.5,8,0.9263157894736842,0.9255747645270981,0.8532608695652174,0.8510452213193233
45,0.0001,0.005,0.75,2,0.9311004784688995,0.9295321188659841,0.8478260869565217,0.8523601141180365
46,0.0001,0.005,0.75,5,0.9023923444976076,0.8986772352686089,0.782608695652174,0.7884006525106527
47,0.0001,0.005,0.75,8,0.9330143540669856,0.9318144508330733,0.8478260869565217,0.850933669402516
48,0.0005,0.0005,0.1,2,0.999043062200957,0.9990430567240719,0.8586956521739131,0.8579527396389525
49,0.0005,0.0005,0.1,5,1.0,1.0,0.8478260869565217,0.844629708307452
50,0.0005,0.0005,0.1,8,0.9980861244019139,0.9980860805860806,0.8478260869565217,0.8421442861928736
51,0.0005,0.0005,0.25,2,0.999043062200957,0.9990430567240719,0.8586956521739131,0.8579605040971223
52,0.0005,0.0005,0.25,5,1.0,1.0,0.8586956521739131,0.8574496308015468
53,0.0005,0.0005,0.25,8,0.9980861244019139,0.9980861244019139,0.8478260869565217,0.8443266758884529
54,0.0005,0.0005,0.5,2,0.9980861244019139,0.9980861189250289,0.8478260869565217,0.8450516020708357
55,0.0005,0.0005,0.5,5,0.999043062200957,0.9990430567240719,0.8369565217391305,0.8271793893208449
56,0.0005,0.0005,0.5,8,0.999043062200957,0.9990430567240719,0.8532608695652174,0.8512904444942037
57,0.0005,0.0005,0.75,2,0.9933014354066986,0.9933080904439351,0.8532608695652174,0.843004452481583
58,0.0005,0.0005,0.75,5,0.999043062200957,0.9990430567240719,0.8641304347826086,0.8638664100777625
59,0.0005,0.0005,0.75,8,0.999043062200957,0.9990430567240719,0.8586956521739131,0.8564698565842732
60,0.0005,0.001,0.1,2,0.9952153110047847,0.9952106665264561,0.8369565217391305,0.838030177794878
61,0.0005,0.001,0.1,5,0.9942583732057416,0.9942490563105527,0.8478260869565217,0.843401796812146
62,0.0005,0.001,0.1,8,0.9933014354066986,0.9932872957443161,0.8260869565217391,0.8304322588665142
63,0.0005,0.001,0.25,2,0.9952153110047847,0.9952106665264561,0.8586956521739131,0.8574630257736987
64,0.0005,0.001,0.25,5,0.999043062200957,0.9990430567240719,0.8478260869565217,0.8476715677419463
65,0.0005,0.001,0.25,8,0.999043062200957,0.9990430567240719,0.8478260869565217,0.8433045706099409
66,0.0005,0.001,0.5,2,0.9942583732057416,0.9942580727426293,0.8532608695652174,0.8483819851303664
67,0.0005,0.001,0.5,5,0.9971291866028709,0.9971291538198014,0.8586956521739131,0.8539883547477174
68,0.0005,0.001,0.5,8,0.9961722488038277,0.9961721279937342,0.8478260869565217,0.8485105632988929
69,0.0005,0.001,0.75,2,0.9933014354066986,0.9932920696096345,0.8532608695652174,0.8499902294276203
70,0.0005,0.001,0.75,5,0.9933014354066986,0.9932920966822103,0.8532608695652174,0.8536917872565845
71,0.0005,0.001,0.75,8,0.9942583732057416,0.9942559527328632,0.8586956521739131,0.8581571793445272
72,0.0005,0.003,0.1,2,0.9799043062200957,0.9798311111326883,0.8478260869565217,0.850369582565934
73,0.0005,0.003,0.1,5,0.9789473684210527,0.9789213148109822,0.842391304347826,0.8440155609008684
74,0.0005,0.003,0.1,8,0.9846889952153111,0.9846634013583617,0.8369565217391305,0.838707895365504
75,0.0005,0.003,0.25,2,0.9760765550239234,0.9760253149566023,0.8478260869565217,0.849587016244625
76,0.0005,0.003,0.25,5,0.9770334928229665,0.9769395952754593,0.8315217391304348,0.8361202529288789
77,0.0005,0.003,0.25,8,0.9837320574162679,0.9837064845659235,0.8478260869565217,0.849323118372296
78,0.0005,0.003,0.5,2,0.9732057416267943,0.9730278582225245,0.8369565217391305,0.8403926532225334
79,0.0005,0.003,0.5,5,0.9827751196172249,0.9827956067210021,0.8478260869565217,0.84949442610005
80,0.0005,0.003,0.5,8,0.9741626794258373,0.9740748154218856,0.8315217391304348,0.8379705910682645
81,0.0005,0.003,0.75,2,0.9598086124401913,0.9597102294583784,0.8478260869565217,0.8486914923793148
82,0.0005,0.003,0.75,5,0.9674641148325359,0.9675111090764003,0.8532608695652174,0.8546195652173914
