,random,mean,median
mirna,1.044095470867509,0.8383247718459718,0.852941396628222
meth,1.1011463418762162,0.9300887498403106,0.9453684161838231
mrna,1.1270307796872556,0.9691842723851896,0.9716747691059455
mirna+meth,1.0886358785031292,0.9120782859888247,0.9272208335458731
meth+mrna,1.114199939466468,0.9498376799270287,0.9586118346950978
mrna+mirna,1.1105204113952294,0.9439059569192432,0.9486085260717576
