,random,mean,median
mirna,0.287371433742718,0.025670379034524585,0.06263323708779853
meth,0.2892015713654546,0.02664959907034445,0.18891707220991807
mrna,0.2880441627186431,0.02847088124146084,0.0913966059447116
mirna+meth,0.28856386692321856,0.026696378882434788,0.20512286344547018
meth+mrna,0.2884692495127335,0.029656316830353645,0.14920633119799026
mrna+mirna,0.28825707101931886,0.030552497670991993,0.1328249769165462
