,random,mean,median,enet,knn_iter,rf,knn1,knn50
mirna,0.28783983715843064,0.04489987012416516,0.03600215901869758,0.04489987012416516,0.041270431056112195,0.055939636742600975,0.10300682466039278,0.054363444672457586
meth,0.28834066720952467,0.20719970088331416,0.2312080618038297,0.20719970088331416,0.22339018235094285,0.22117273295887646,0.2406881569627652,0.21719086090692338
mrna,0.28886847126348303,0.09626461413543717,0.10595014032466653,0.09626461413543717,0.11693420404878326,0.1118127714094575,0.16122432251072852,0.11389051299056539
mirna+meth,0.2886284007920187,0.26100866746264045,0.28414112816315185,0.26100866746264045,0.2769744877298138,0.27132020754605113,0.2857795271169127,0.2674971878385363
meth+mrna,0.288858375948973,0.1619799396547426,0.18028475207597217,0.1619799396547426,0.17950654055840934,0.1808479628253867,0.20934012159082885,0.16969063129914233
mrna+mirna,0.28846721189386204,0.19483150610691286,0.20797358931268517,0.19483150610691286,0.211699318797795,0.20548666177453995,0.23002262685498887,0.20389420945874207
