,miRNA
0,0.04134703800082207
1,0.03700258210301399
2,0.03453671932220459
3,0.033495284616947174
4,0.032196108251810074
5,0.03203793987631798
6,0.03155308589339256
7,0.0313076488673687
8,0.03002779372036457
9,0.02917865477502346
10,0.02842743694782257
11,0.027646342292428017
12,0.027132967486977577
13,0.026738937944173813
14,0.025929030030965805
15,0.02535795234143734
16,0.024981850758194923
17,0.02449721284210682
18,0.02375037968158722
19,0.023346174508333206
20,0.022847646847367287
21,0.02216826193034649
22,0.021631309762597084
23,0.021139023825526237
24,0.020884402096271515
25,0.02054741606116295
26,0.020490659400820732
27,0.019707219675183296
28,0.01924237608909607
29,0.019039595499634743
30,0.018856171518564224
31,0.01838929019868374
32,0.01796584390103817
33,0.017486480996012688
34,0.017274072393774986
35,0.017152657732367516
36,0.016793280839920044
37,0.01655794493854046
38,0.01626286655664444
39,0.01613263413310051
40,0.01605176366865635
41,0.01585683971643448
42,0.015405312180519104
43,0.015447691082954407
44,0.01522030122578144
45,0.015266455709934235
46,0.014841398224234581
47,0.014513412490487099
48,0.014698297716677189
49,0.014254351146519184
50,0.014076906256377697
51,0.014078481122851372
52,0.013909618370234966
53,0.0138010298833251
54,0.013726834207773209
55,0.013557975180447102
56,0.013416269794106483
57,0.013388870283961296
58,0.01308144349604845
59,0.013179752044379711
60,0.0128380311653018
61,0.012859157286584377
62,0.012822382152080536
63,0.012617897242307663
64,0.012743609957396984
65,0.012293167412281036
66,0.012399962171912193
67,0.01236466970294714
68,0.01212257705628872
69,0.012218223884701729
70,0.011940425261855125
71,0.01189673226326704
72,0.011873514391481876
73,0.011993185617029667
74,0.011693744920194149
75,0.01170885656028986
76,0.011520597152411938
77,0.011707728728652
78,0.011261137202382088
79,0.011214208789169788
80,0.011362089775502682
81,0.011105315759778023
82,0.011105652898550034
83,0.011254461482167244
84,0.011018267832696438
85,0.010835439898073673
86,0.010992245748639107
87,0.01055937446653843
88,0.010836711153388023
89,0.010644154623150826
90,0.010387030430138111
91,0.010479829274117947
92,0.010578831657767296
93,0.010456930845975876
94,0.010440281592309475
95,0.010388292372226715
96,0.010299719870090485
97,0.009979268535971642
98,0.01018842589110136
99,0.010034113191068172
100,0.009984019212424755
101,0.01006409153342247
102,0.00997349712997675
103,0.009825502522289753
104,0.00982241053134203
105,0.009696762077510357
106,0.009753149934113026
107,0.009659642353653908
108,0.009752881713211536
109,0.009499773383140564
110,0.009597079828381538
111,0.009337298572063446
112,0.009507882408797741
113,0.009457973763346672
114,0.009315898641943932
115,0.009241078980267048
116,0.009267180226743221
117,0.009193412028253078
118,0.00921191181987524
119,0.009289896115660667
120,0.009048153646290302
121,0.009165463037788868
122,0.009006894193589687
123,0.0087886406108737
124,0.00886409543454647
125,0.008923675864934921
126,0.009068881161510944
127,0.008837820962071419
128,0.008653425611555576
129,0.008849176578223705
130,0.00860923808068037
131,0.00847131572663784
132,0.008634750731289387
133,0.008676114492118359
134,0.008432074449956417
135,0.00835985504090786
136,0.008391505107283592
137,0.008358226157724857
138,0.00843286607414484
139,0.00825442560017109
140,0.008088329806923866
141,0.008263734169304371
142,0.008068475872278214
143,0.008198118768632412
144,0.008081640116870403
145,0.008089449256658554
146,0.007964438758790493
147,0.007990196347236633
148,0.008030322380363941
149,0.007920552976429462
150,0.008006822317838669
151,0.007905888371169567
152,0.007837772369384766
153,0.007965927943587303
154,0.007762500084936619
155,0.007845197804272175
156,0.007884799502789974
157,0.007774014491587877
158,0.007614456582814455
159,0.007808045484125614
160,0.007732754573225975
161,0.007730463985353708
162,0.007552125956863165
163,0.007559019140899181
164,0.007591903209686279
165,0.0075590950436890125
166,0.0074973199516534805
167,0.00760250398889184
168,0.007306480780243874
169,0.007446513511240482
170,0.007407657336443663
171,0.007441980764269829
172,0.007537699304521084
173,0.007377058733254671
174,0.007414715830236673
175,0.007301789708435535
176,0.007276773918420076
177,0.00739053962752223
178,0.007303302641957998
179,0.00724437553435564
180,0.0073646316304802895
181,0.007274622563272715
182,0.007157897111028433
183,0.007190961856395006
184,0.007108036894351244
185,0.007031709421426058
186,0.007121928036212921
187,0.00695337587967515
188,0.007035288494080305
189,0.00689696567133069
190,0.007061825133860111
191,0.006832038518041372
192,0.007016763556748629
193,0.007066457998007536
194,0.007032432127743959
195,0.00700977211818099
196,0.006824796553701162
197,0.006883097346872091
198,0.00685019139200449
199,0.006903910543769598
200,0.0067518544383347034
201,0.006838927045464516
202,0.006823446601629257
203,0.006746258586645126
204,0.006818337365984917
205,0.0066989026963710785
206,0.006666149478405714
207,0.006868333555757999
208,0.006638906896114349
209,0.006674284115433693
210,0.00656886538490653
211,0.006557222455739975
212,0.006634656805545092
213,0.006485545542091131
214,0.006554311607033014
215,0.006578404922038317
216,0.0066450550220906734
217,0.006490211933851242
218,0.006560042966157198
219,0.006439038552343845
220,0.006547131575644016
221,0.00653804000467062
222,0.00662220036610961
223,0.0064521534368395805
224,0.006468965671956539
225,0.006528278347104788
226,0.006402633152902126
227,0.006405392196029425
228,0.006492726504802704
229,0.006274309009313583
230,0.006476129405200481
231,0.006455432623624802
232,0.006342594046145678
233,0.006301845423877239
234,0.006325720343738794
235,0.0063219573348760605
236,0.006202170625329018
237,0.006301837973296642
238,0.006329845637083054
239,0.006275627296417952
240,0.006298795808106661
241,0.006322262343019247
242,0.006207884754985571
243,0.006214515306055546
244,0.006161713041365147
245,0.0061965202912688255
246,0.006235489621758461
247,0.006184721365571022
248,0.0061405980959534645
249,0.006175111047923565
250,0.006132904440164566
251,0.006070875562727451
252,0.006074706092476845
253,0.006200139410793781
254,0.00621060561388731
255,0.006228459067642689
256,0.006142911035567522
257,0.005993351340293884
258,0.005992830265313387
259,0.006108899135142565
260,0.006128646433353424
261,0.00601124856621027
262,0.006034895312041044
263,0.006013506557792425
264,0.006026773247867823
265,0.00605786731466651
266,0.005972286220639944
267,0.0059311967343091965
268,0.00606516283005476
269,0.006066401954740286
270,0.006025530397891998
271,0.005946263670921326
272,0.005955007392913103
273,0.0060147191397845745
274,0.005915029440075159
275,0.005952922627329826
276,0.006040150299668312
277,0.005916989874094725
278,0.005925246048718691
279,0.005915035959333181
280,0.005981410387903452
281,0.005820386111736298
282,0.00579666206613183
283,0.0058755287900567055
284,0.005953164305537939
285,0.005926145706325769
286,0.0059177507646381855
287,0.005896867718547583
288,0.005867779720574617
289,0.005883549805730581
290,0.005960043054074049
291,0.005782753694802523
292,0.005742718931287527
293,0.00583325931802392
294,0.005880885757505894
295,0.005765254609286785
296,0.005835061427205801
297,0.005799899343401194
298,0.0058153774589300156
299,0.005767218302935362
300,0.005775695201009512
301,0.005838783923536539
302,0.005777173675596714
303,0.005651082843542099
304,0.005861027631908655
305,0.005820503458380699
306,0.005761532112956047
307,0.005769422743469477
308,0.005672471132129431
309,0.005777221638709307
310,0.005656114779412746
311,0.005761937238276005
312,0.005798608064651489
313,0.0055766659788787365
314,0.005781408865004778
315,0.005782218649983406
316,0.005652682855725288
317,0.00556926941499114
318,0.005696009378880262
319,0.005627240985631943
320,0.005563757847994566
321,0.0056661395356059074
322,0.005601562559604645
323,0.005610985681414604
324,0.0054629589430987835
325,0.005690107122063637
326,0.005606025457382202
327,0.00560605525970459
328,0.005627191159874201
329,0.005637665744870901
330,0.005634066183120012
331,0.005669805221259594
332,0.005518873687833548
333,0.005550553556531668
334,0.005649313796311617
335,0.005602454300969839
336,0.005523726809769869
337,0.005526354070752859
338,0.005529509391635656
339,0.005637751892209053
340,0.0054962108843028545
341,0.005426457617431879
342,0.00548367528244853
343,0.005549351219087839
344,0.0054274131543934345
345,0.005585190840065479
346,0.005562683567404747
347,0.005468575283885002
348,0.0055785044096410275
349,0.005520251579582691
350,0.005568350665271282
351,0.005485006142407656
352,0.005533124320209026
353,0.005548329558223486
354,0.005401378031820059
355,0.005327205639332533
356,0.005517514422535896
357,0.0054399105720222
358,0.005448988638818264
359,0.005347773432731628
360,0.005406731739640236
361,0.0054986136965453625
362,0.005286567844450474
363,0.005427447613328695
364,0.0053730555810034275
365,0.005417590029537678
366,0.0054452428594231606
367,0.005384228657931089
368,0.005447121802717447
369,0.005463100504130125
370,0.0054585556499660015
371,0.005457207094877958
372,0.005343374330550432
373,0.005472956225275993
374,0.005373522639274597
375,0.005472040269523859
376,0.005430634133517742
377,0.005214964970946312
378,0.005335635971277952
379,0.005363142117857933
380,0.005343758035451174
381,0.005433795973658562
382,0.005385065916925669
383,0.005417222622781992
384,0.005319494288414717
385,0.00542095024138689
386,0.005307283718138933
387,0.005345027428120375
388,0.00532451132312417
389,0.005235916934907436
390,0.005311993416398764
391,0.005201761145144701
392,0.005416951607912779
393,0.005435580853372812
394,0.005267569329589605
