,miRNA
0,0.042691487818956375
1,0.03859306126832962
2,0.03535906597971916
3,0.03349021449685097
4,0.03260095417499542
5,0.031773705035448074
6,0.03169115260243416
7,0.03138069435954094
8,0.030646445229649544
9,0.03002951666712761
10,0.02934720553457737
11,0.028551695868372917
12,0.02778005786240101
13,0.0272078774869442
14,0.026665138080716133
15,0.026340298354625702
16,0.0258839949965477
17,0.025797592476010323
18,0.025470340624451637
19,0.024505646899342537
20,0.02403644472360611
21,0.0238149743527174
22,0.02299962192773819
23,0.02254408970475197
24,0.021982301026582718
25,0.021610666066408157
26,0.021409716457128525
27,0.021055132150650024
28,0.02028699405491352
29,0.020357809960842133
30,0.019858157262206078
31,0.019556622952222824
32,0.019127855077385902
33,0.01883389614522457
34,0.018477728590369225
35,0.01823992282152176
36,0.017927760258316994
37,0.017729181796312332
38,0.017591331154108047
39,0.01701292023062706
40,0.016688145697116852
41,0.016573695465922356
42,0.016256781294941902
43,0.016111208125948906
44,0.015850365161895752
45,0.015575996600091457
46,0.015445555560290813
47,0.01528491172939539
48,0.014941027387976646
49,0.01488516852259636
50,0.014740904793143272
51,0.014659103006124496
52,0.01417048741132021
53,0.014540066011250019
54,0.014093884266912937
55,0.014218134805560112
56,0.013837854377925396
57,0.013639559037983418
58,0.01350538618862629
59,0.013304518535733223
60,0.013197320513427258
61,0.013050036504864693
62,0.012877625413239002
63,0.012900788336992264
64,0.012967291288077831
65,0.012850746512413025
66,0.01251125056296587
67,0.012518673203885555
68,0.012308883480727673
69,0.01224455889314413
70,0.012249833904206753
71,0.012097127735614777
72,0.011900544166564941
73,0.011691296473145485
74,0.011960082687437534
75,0.01162605732679367
76,0.011566733941435814
77,0.011690733954310417
78,0.011448060162365437
79,0.011268090456724167
80,0.011411040090024471
81,0.01113587524741888
82,0.01115033682435751
83,0.011202027089893818
84,0.011033282615244389
85,0.01107794139534235
86,0.010860021226108074
87,0.010952597483992577
88,0.010733270086348057
89,0.010602368973195553
90,0.010745001956820488
91,0.010410807095468044
92,0.010619399137794971
93,0.010586333461105824
94,0.010479726828634739
95,0.0103401904925704
96,0.010131113231182098
97,0.010088478215038776
98,0.009840377606451511
99,0.009920750744640827
100,0.009828639216721058
101,0.009831542149186134
102,0.009805598296225071
103,0.009697005152702332
104,0.009705197997391224
105,0.009594871662557125
106,0.009615430608391762
107,0.00951622799038887
108,0.00956521276384592
109,0.009440068155527115
110,0.00941679161041975
111,0.009582005441188812
112,0.009355650283396244
113,0.009202549234032631
114,0.009197631850838661
115,0.009181822650134563
116,0.009214632213115692
117,0.009043347090482712
118,0.008960987441241741
119,0.008974570780992508
120,0.008847260847687721
121,0.009013030678033829
122,0.008857008069753647
123,0.008787845261394978
124,0.008569026365876198
125,0.008861159905791283
126,0.008694571442902088
127,0.008602496236562729
128,0.00853212270885706
129,0.008561231195926666
130,0.00846126675605774
131,0.008519788272678852
132,0.0084546422585845
133,0.008308771066367626
134,0.00825304165482521
135,0.00818398967385292
136,0.008384952321648598
137,0.00829233881086111
138,0.008366348221898079
139,0.008040999062359333
140,0.008278743363916874
141,0.008119762875139713
142,0.008140708319842815
143,0.008032865822315216
144,0.008093641139566898
145,0.007941748946905136
146,0.007943607866764069
147,0.007981584407389164
148,0.00789066031575203
149,0.0076865847222507
150,0.0077498177997767925
151,0.007785312365740538
152,0.00773679930716753
153,0.007803956978023052
154,0.00771718192845583
155,0.007660320959985256
156,0.007699634414166212
157,0.007667912170290947
158,0.007668110076338053
159,0.0076073817908763885
160,0.0074510578997433186
161,0.007439919747412205
162,0.007579655386507511
163,0.007387376856058836
164,0.007539582904428244
165,0.007310099899768829
166,0.007326034363359213
167,0.007303903810679913
168,0.00729986559599638
169,0.007219417952001095
170,0.007333565969020128
171,0.00738303828984499
172,0.007417864166200161
173,0.007295296993106604
174,0.007193435449153185
175,0.007066628430038691
176,0.007269375491887331
177,0.00713875237852335
178,0.007246955763548613
179,0.0070670172572135925
180,0.006946681533008814
181,0.006956701632589102
182,0.00715737696737051
183,0.006936258636415005
184,0.007083349861204624
185,0.00710652768611908
186,0.0069217439740896225
187,0.006910448893904686
188,0.006903541274368763
189,0.006839107256382704
190,0.0068536922335624695
191,0.006922858767211437
192,0.006695632357150316
193,0.006753379944711924
194,0.006622392684221268
195,0.006742212921380997
196,0.006666618399322033
197,0.006738313939422369
198,0.006824073381721973
199,0.006779597140848637
200,0.006718968506902456
201,0.0065199402160942554
202,0.006676481105387211
203,0.006538454908877611
204,0.006610744632780552
205,0.006547618191689253
206,0.006654659751802683
207,0.00646201753988862
208,0.006515501532703638
209,0.0066469707526266575
210,0.006448877044022083
211,0.006458552088588476
212,0.006355294492095709
213,0.006512549240142107
214,0.006395016331225634
215,0.00637804577127099
216,0.006263625342398882
217,0.006494417320936918
218,0.00640149787068367
219,0.006458131596446037
220,0.006493839435279369
221,0.006331951357424259
222,0.006258353125303984
223,0.006319831125438213
224,0.006330180913209915
225,0.006342672277241945
226,0.006366626359522343
227,0.006278080865740776
228,0.006249182857573032
229,0.006319472566246986
230,0.006271777208894491
231,0.006228960584849119
232,0.006315298844128847
233,0.006248776335269213
234,0.006112886592745781
235,0.006054647266864777
236,0.006387874949723482
237,0.006211365573108196
238,0.0061034997925162315
239,0.006202948745340109
240,0.006132438313215971
241,0.006083364598453045
242,0.006098418962210417
243,0.006016381084918976
244,0.006070601288229227
245,0.006032076198607683
246,0.006100921425968409
247,0.005978492554277182
248,0.006021247711032629
249,0.005948121193796396
250,0.006057130638509989
251,0.005954807624220848
252,0.006089986301958561
253,0.006017148960381746
254,0.005912070162594318
255,0.005970451049506664
256,0.005949170328676701
257,0.006019571330398321
258,0.005929204635322094
259,0.005846929270774126
