index,train_accuracy,train_F1,test_accuracy,test_F1
0,0.15359477124183007,0.06699515176472838,0.5285171102661597,0.36549193197510543
50,0.4019607843137255,0.38919705101144453,0.3155893536121673,0.2688035777156653
100,0.46568627450980393,0.3845977404209742,0.5285171102661597,0.36549193197510543
150,0.6470588235294118,0.5307743525217573,0.6692015209125475,0.5536280976689145
200,0.6094771241830066,0.5071354596071167,0.6692015209125475,0.5639336606647645
250,0.6584967320261438,0.5682300189821656,0.6083650190114068,0.4912424552352273
300,0.6977124183006536,0.6290833160699426,0.7186311787072244,0.6457817075413066
350,0.6258169934640523,0.5180782171755048,0.5361216730038023,0.3818211159253692
400,0.738562091503268,0.6780694206184288,0.7262357414448669,0.6611587243188967
450,0.6356209150326797,0.554610515264787,0.5285171102661597,0.36549193197510543
500,0.8169934640522876,0.7697880357539756,0.7870722433460076,0.7483672128851385
550,0.6666666666666666,0.5921385291232756,0.5817490494296578,0.46916823210500447
600,0.7892156862745098,0.7634093786436105,0.7414448669201521,0.7264798164427191
650,0.5898692810457516,0.48228561409632714,0.5285171102661597,0.36549193197510543
700,0.704248366013072,0.6393368356489268,0.6425855513307985,0.5498708193306084
750,0.7173202614379085,0.648788354630719,0.6311787072243346,0.5403641232705622
800,0.6584967320261438,0.5824681627976607,0.5475285171102662,0.41004480984736885
850,0.8169934640522876,0.7670708373908914,0.779467680608365,0.7278903255037903
900,0.826797385620915,0.7864188996478172,0.8098859315589354,0.7742954991072729
950,0.8496732026143791,0.8113751969391324,0.8098859315589354,0.7754079892733512
1000,0.7320261437908496,0.6706982973663169,0.6806083650190115,0.6195759210283042
1050,0.6666666666666666,0.5975354290233491,0.6996197718631179,0.6399686866140931
1100,0.8578431372549019,0.8475097941611575,0.8250950570342205,0.8167894402231226
1150,0.6617647058823529,0.5915824465261172,0.5475285171102662,0.41489683605609645
1200,0.8529411764705882,0.8499843769071248,0.7908745247148289,0.771539256865898
1250,0.9003267973856209,0.896828899712792,0.7718631178707225,0.7898470234124254
1300,0.8856209150326797,0.8759491956005384,0.7946768060836502,0.7873642925786435
1350,0.8970588235294118,0.8913209533043549,0.8250950570342205,0.8176246388303731
1400,0.7271241830065359,0.6967192565781337,0.7642585551330798,0.7038537691816263
1450,0.5800653594771242,0.4657688652790703,0.5285171102661597,0.36549193197510543
1500,0.9035947712418301,0.9016447632317132,0.7642585551330798,0.7792963310453804
1550,0.869281045751634,0.8559595565928408,0.7718631178707225,0.7298910012996784
1600,0.8578431372549019,0.8437908878557864,0.752851711026616,0.737964332387653
1650,0.9052287581699346,0.8965689926876271,0.7870722433460076,0.7627285850936544
1700,0.9019607843137255,0.8984018927638633,0.8136882129277566,0.8087341130014682
1750,0.9035947712418301,0.8985029212573673,0.8136882129277566,0.8057683797309404
1800,0.880718954248366,0.8749638444078904,0.8174904942965779,0.8176505866328456
1850,0.923202614379085,0.9201077729168117,0.8212927756653993,0.8222900510944308
1900,0.9248366013071896,0.9242165786526029,0.7870722433460076,0.8024906423011353
1950,0.9215686274509803,0.9167222454478099,0.8060836501901141,0.7978392865723152
2000,0.9215686274509803,0.918628981878169,0.7870722433460076,0.7982377858087402
