,mRNA,methylation,miRNA,VCDN,VCDN,VCDN
0,0.1415635645389557,0.0952458381652832,0.04151703789830208,0.3298313319683075,0.3298313319683075,0.3298313319683075
1,1.2733200788497925,1.5649529695510864,0.03710908070206642,0.3261464536190033,0.3261464536190033,0.3261464536190033
2,0.20211948454380035,0.19599507749080658,0.034465983510017395,0.3231257200241089,0.3231257200241089,0.3231257200241089
3,0.10230179131031036,0.14590182900428772,0.03335908427834511,0.3235514760017395,0.3235514760017395,0.3235514760017395
4,0.26826319098472595,0.3376411497592926,0.0326087661087513,0.32343339920043945,0.32343339920043945,0.32343339920043945
5,0.2043934166431427,0.22969959676265717,0.03275713324546814,0.32266345620155334,0.32266345620155334,0.32266345620155334
6,0.0756659135222435,0.07548432052135468,0.031459588557481766,0.32243454456329346,0.32243454456329346,0.32243454456329346
7,0.04524699226021767,0.05681777745485306,0.03110765479505062,0.3225719928741455,0.3225719928741455,0.3225719928741455
8,0.10544610023498535,0.14547578990459442,0.030248891562223434,0.32246530055999756,0.32246530055999756,0.32246530055999756
9,0.12447065860033035,0.14413045346736908,0.02953963726758957,0.32247984409332275,0.32247984409332275,0.32247984409332275
10,0.08556421846151352,0.08333829790353775,0.028577066957950592,0.3221368193626404,0.3221368193626404,0.3221368193626404
11,0.04729290306568146,0.04395037889480591,0.028291672468185425,0.3224012553691864,0.3224012553691864,0.3224012553691864
12,0.03886136785149574,0.04053926840424538,0.02743370831012726,0.3225499391555786,0.3225499391555786,0.3225499391555786
13,0.054977986961603165,0.05786624550819397,0.026972075924277306,0.32239145040512085,0.32239145040512085,0.32239145040512085
14,0.0651087686419487,0.06922312825918198,0.026718642562627792,0.3223302364349365,0.3223302364349365,0.3223302364349365
15,0.056891098618507385,0.06334288418292999,0.026032811030745506,0.3222735822200775,0.3222735822200775,0.3222735822200775
16,0.04283412545919418,0.04835657402873039,0.025611788034439087,0.32186323404312134,0.32186323404312134,0.32186323404312134
17,0.033194392919540405,0.03769385442137718,0.025171570479869843,0.3216642141342163,0.3216642141342163,0.3216642141342163
18,0.036044638603925705,0.0362774133682251,0.024550028145313263,0.32131844758987427,0.32131844758987427,0.32131844758987427
19,0.041046932339668274,0.04121715947985649,0.024127310141921043,0.32110413908958435,0.32110413908958435,0.32110413908958435
20,0.04412190988659859,0.04765878990292549,0.023798460140824318,0.32080456614494324,0.32080456614494324,0.32080456614494324
21,0.041625961661338806,0.04769832268357277,0.02341620810329914,0.32056188583374023,0.32056188583374023,0.32056188583374023
22,0.03546588867902756,0.042695317417383194,0.022893555462360382,0.32032957673072815,0.32032957673072815,0.32032957673072815
23,0.031239133328199387,0.036123987287282944,0.022203749045729637,0.3201409578323364,0.3201409578323364,0.3201409578323364
24,0.031615935266017914,0.03308183699846268,0.02194622904062271,0.3198584318161011,0.3198584318161011,0.3198584318161011
25,0.0341414175927639,0.03351905196905136,0.02196890115737915,0.3195926249027252,0.3195926249027252,0.3195926249027252
26,0.03526284545660019,0.0343116894364357,0.021323539316654205,0.3193192183971405,0.3193192183971405,0.3193192183971405
27,0.034236401319503784,0.035791877657175064,0.020730402320623398,0.318993479013443,0.318993479013443,0.318993479013443
28,0.03120659664273262,0.035949286073446274,0.020745089277625084,0.3186783492565155,0.3186783492565155,0.3186783492565155
29,0.02942984364926815,0.03354692831635475,0.020349089056253433,0.31804072856903076,0.31804072856903076,0.31804072856903076
30,0.029465222731232643,0.03227167949080467,0.01990259811282158,0.3174290060997009,0.3174290060997009,0.3174290060997009
31,0.02994256466627121,0.030979255214333534,0.01971091702580452,0.3168792128562927,0.3168792128562927,0.3168792128562927
32,0.030626138672232628,0.030064977705478668,0.019198279827833176,0.3163940906524658,0.3163940906524658,0.3163940906524658
33,0.03014376573264599,0.030310800299048424,0.019065851345658302,0.3157232999801636,0.3157232999801636,0.3157232999801636
34,0.0287738386541605,0.031101632863283157,0.018727079033851624,0.3151252269744873,0.3151252269744873,0.3151252269744873
35,0.0279634241014719,0.031094087287783623,0.0185379795730114,0.31452059745788574,0.31452059745788574,0.31452059745788574
36,0.026956025511026382,0.03085201233625412,0.018093720078468323,0.31378161907196045,0.31378161907196045,0.31378161907196045
37,0.026469094678759575,0.02930343709886074,0.01804194226861,0.313260555267334,0.313260555267334,0.313260555267334
38,0.026588471606373787,0.02877088263630867,0.01751720905303955,0.31273436546325684,0.31273436546325684,0.31273436546325684
39,0.026453671976923943,0.027965201064944267,0.017191318795084953,0.3118251860141754,0.3118251860141754,0.3118251860141754
40,0.026646045967936516,0.028152229264378548,0.017030665650963783,0.31091827154159546,0.31091827154159546,0.31091827154159546
41,0.026041219010949135,0.028029147535562515,0.016910964623093605,0.3100598454475403,0.3100598454475403,0.3100598454475403
42,0.025404509156942368,0.02815507911145687,0.016696924343705177,0.3093808889389038,0.3093808889389038,0.3093808889389038
43,0.02472795359790325,0.02770071104168892,0.016331462189555168,0.3081524074077606,0.3081524074077606,0.3081524074077606
44,0.023755714297294617,0.026891326531767845,0.016317786648869514,0.3074028491973877,0.3074028491973877,0.3074028491973877
45,0.02498781867325306,0.026579970493912697,0.015994641929864883,0.3058963119983673,0.3058963119983673,0.3058963119983673
46,0.02471001259982586,0.02602383866906166,0.01618341915309429,0.3054489195346832,0.3054489195346832,0.3054489195346832
47,0.023831766098737717,0.026014775037765503,0.01587667688727379,0.3045864999294281,0.3045864999294281,0.3045864999294281
48,0.023400746285915375,0.026165351271629333,0.015477887354791164,0.3034408986568451,0.3034408986568451,0.3034408986568451
49,0.02345793880522251,0.025764362886548042,0.01548218447715044,0.30247753858566284,0.30247753858566284,0.30247753858566284
50,0.022731557488441467,0.025776332244277,0.015124953351914883,0.30134475231170654,0.30134475231170654,0.30134475231170654
51,0.02296404540538788,0.02574828453361988,0.015019724145531654,0.30041295289993286,0.30041295289993286,0.30041295289993286
52,0.022747207432985306,0.024632832035422325,0.014887253753840923,0.2992655038833618,0.2992655038833618,0.2992655038833618
53,0.022125354036688805,0.024366872385144234,0.014488517306745052,0.29778555035591125,0.29778555035591125,0.29778555035591125
54,0.021309519186615944,0.024708475917577744,0.014369834214448929,0.2964530885219574,0.2964530885219574,0.2964530885219574
55,0.021432088688015938,0.024220000952482224,0.014336679130792618,0.2947385013103485,0.2947385013103485,0.2947385013103485
56,0.021645523607730865,0.024221211671829224,0.014220564626157284,0.29343292117118835,0.29343292117118835,0.29343292117118835
57,0.021054739132523537,0.024348383769392967,0.013865073211491108,0.2920073866844177,0.2920073866844177,0.2920073866844177
58,0.020911073312163353,0.023619530722498894,0.013869652524590492,0.2907649576663971,0.2907649576663971,0.2907649576663971
59,0.020301710814237595,0.02354809269309044,0.013779799453914165,0.289122611284256,0.289122611284256,0.289122611284256
60,0.02014411799609661,0.023338109254837036,0.013622443191707134,0.28807908296585083,0.28807908296585083,0.28807908296585083
