features,aggregate
A4GALT|53947,0.004654800293811886
AADAT,0.006790923507269853
AAGAB,0.004408129309083568
AAGAB|79719,0.004933498745573084
AATK|9625,0.0046443113467324205
ABCA7,0.004989291246885896
ABCB6|10058,0.004686487560000082
ABCC10,0.004016893652656819
ABCC4,0.006179896337454591
ABCC5,0.003471741853773232
ABCC6P1,0.004108380179152212
ABHD13|84945,0.004396404841354156
ABHD14B;ABHD14A,0.003789604425550686
ABHD3|171586,0.005133603572395855
ABLIM3|22885,0.010106628345365687
ABO,0.004774544039781459
ABTB1;PODXL2,0.003880332042934593
ACACB|32,0.013663916591394359
ACADVL;DLG4,0.003826357721409549
ACADVL;MIR324,0.003921720521073943
ACAP1,0.007640480765459798
ACAP3|116983,0.004055740070907288
ACCN2,0.0038665417871880823
ACOT11|26027,0.005580044743088068
ACOT2,0.0031798660214827383
ACOT4|122970,0.0061992457356044705
ACOX1;FBF1,0.012974435854182287
ACP6|51205,0.004921039725867288
ACRC|93953,0.004030064781041132
ACSM1,0.004882577061326342
ACSS1|84532,0.006940056940440052
ACTR1B|10120,0.00449031046088974
ACTR3,0.004658879483033325
ACTR3C|653857,0.004306664491702707
ACTR5|79913,0.003785001711399502
ACVR2B,0.004278076639134211
ACY1|95,0.003401660483547971
ACYP1|97,0.0032043590428683833
ADAM22,0.004155811971492275
ADAMTS4|9507,0.0069938352755322016
ADAMTS7|11173,0.00393095896616326
ADAMTS8,0.005103115251911731
ADAT1,0.004382195766657071
ADH1B,0.011230573242284995
ADI1,0.00471651204949447
ADM,0.0036231328110956865
ADPRHL1|113622,0.0036021297176846495
ADRBK2,0.0037010373779395706
AEN|64782,0.00506801086246483
AFAP1;LOC84740,0.004641746197105087
AFARP1;SLC16A1,0.004609775158181744
AFF4,0.004562447782368427
AGPAT5|55326,0.005652083937113658
AGPHD1|123688,0.004447179330488543
AGRP,0.004661883811013664
AIFM2,0.004537592433547486
AIMP1,0.006998382940170552
AIMP1|9255,0.003465213331630632
AKAP11,0.003739700585016565
AKR7A2,0.00973562426300311
AKR7A3,0.004343685976743008
ALAD|210,0.007072703889061781
ALDH16A1;PIH1D1,0.005149692550706017
ALDH5A1|7915,0.006195862779454574
ALDH7A1|501,0.004026046129801834
ALDH9A1|223,0.0035729583468702576
ALG11;UTP14C,0.005083568702233927
ALG2|85365,0.005056315041190712
ALG8|79053,0.003967896616521578
ALG9|79796,0.002830308192992171
ALKBH5,0.004766711532241835
ALS2|57679,0.00398844437362453
AMBN,0.006244957127800172
AMD1|262,0.007199042517261879
AMOT|154796,0.005508701955975093
AMPD1,0.010659206928312381
AMPD2,0.004192566599408888
ANKDD1A,0.003306932051493159
ANKRD10|55608,0.004172910206678508
ANKRD13A,0.0042677055615794
ANKRD13B|124930,0.006541416364445983
ANKRD29|147463,0.016695983821798016
ANKRD36BL1,0.003499414887120363
ANKRD37|353322,0.005061171647947505
ANKRD42|338699,0.005717083849293674
ANKRD52|283373,0.004134274473516026
ANKRD54|129138,0.004068481313930896
ANO10|55129,0.0040942786166432606
ANP32A|8125,0.005036383722070096
ANP32D,0.010350595132530178
ANXA2|302,0.005115017543653342
ANXA8L2,0.009238820462011254
AOC2;AOC3,0.010941866989342582
AP1M1|8907,0.003637112967945497
AP3D1|8943,0.005042157821929417
AP3M2,0.005287086372404594
AP3M2|10947,0.0035816352193317746
AP4B1|10717,0.004643974517421278
AP4E1|23431,0.0033170819122636517
APBB2|323,0.003819457122170853
APEX1;OSGEP,0.004677707553612511
APH1B|83464,0.005739757847252768
APIP|51074,0.004293065090621986
APLP1,0.003751678849914449
APLP2|334,0.0038803102820313736
APOA1,0.00546912621270608
APOC1|341,0.008135194326434496
APOE,0.003998436546810953
AQP6,0.004945225677315586
ARF4|378,0.005321269211397737
ARFGAP2|84364,0.003685572970460716
ARFRP1;ZGPAT,0.004378726718501244
ARHGAP4,0.0057944556898381055
ARHGEF1,0.005816354615334197
ARHGEF11|9826,0.004474465194071484
ARIH2|10425,0.004077362003934204
ARL2BP|23568,0.0034781099837378326
ARL6IP1,0.005347072601931968
ARL6IP6|151188,0.00406721537594272
ARMCX3,0.005778272827808309
ARNT2,0.005384284666417145
ARNT|405,0.004764006707677764
ARPC1A,0.004194983527458012
ARPC4;TADA3,0.003619266356401031
ARSK|153642,0.0036037263504285814
ARV1,0.008997045268174773
ASAH2,0.005561403362181554
ASAP1|50807,0.003174463132498633
ASAP3|55616,0.004593580031470929
ASB16;C17orf65,0.004260453871461237
ASCC2|84164,0.0040334955191211955
ASRGL1,0.0038888106053279053
ASTE1|28990,0.0036799841944596106
ATAD2B|54454,0.0041477286126578635
ATAD3C|219293,0.011281560443323756
ATF1|466,0.0037635162430813794
ATG4A|115201,0.005067206751753822
ATP10D|57205,0.0046469073495954746
ATP1A3,0.005012849555381447
ATP5B|506,0.0037898190259344753
ATP5H|10476,0.004177160129363217
ATP5O|539,0.0043077794454238465
ATP6AP2|10159,0.004339023501102247
ATP6V1A|523,0.004660766688992374
ATP6V1D|51382,0.004729761653166671
ATP7B|540,0.009915419985075873
ATP8B1|5205,0.0056052587963231724
ATXN10|25814,0.004013585876594766
ATXN1|6310,0.0038307505703987516
ATXN2,0.004667887582360152
ATXN7L3B|552889,0.004269161287494093
AVL9|23080,0.004379449240367603
AWAT1,0.00547705636137965
AXIN1,0.005320946726178593
B3GALT4|8705,0.0031541174827043232
B3GNT4,0.003922295154200875
B4GALNT4,0.0034296869919208254
B9D1|27077,0.004028666766238958
BACE1,0.004146895699453229
BASP1;LOC285696,0.008787357866983122
BAT4;CSNK2B,0.0036519455654112336
BAZ2A;RBMS2,0.010941630282059057
BBS4|585,0.0046343703296104245
BBX,0.004216415572149867
BCAM|4059,0.008741177403269526
BCAR1|9564,0.003660695058387917
BCAS2|10286,0.004435087370750707
BCORL1|63035,0.004229356012806765
BCR|613,0.003271061962741491
BDNF;BDNFOS,0.0068458049581095505
BFSP1|631,0.006471290700773998
BGLAP|632,0.005774362209873898
BOC|91653,0.009551712130449523
BPESC1,0.0041452025459937526
BPTF|2186,0.004297611387645485
BRAP|8315,0.00500316670261634
BRD9|65980,0.003913391081823761
BRF2|55290,0.005788442750803481
BRPF1|7862,0.005812193627394879
BSDC1|55108,0.0044679774599640665
BST1,0.004375328018936003
BST2|684,0.006327702849474896
BTBD10|84280,0.0050705292308473255
BTG2|7832,0.009070898931146487
BTK;TIMM8A,0.009987874904717899
BUB3,0.003798908233467127
C10orf111;RPP38,0.005984567497837356
C10orf113;NEBL,0.004842460798951764
C10orf116,0.009500991030754257
C10orf26|54838,0.00477941427113735
C10orf2;MRPL43,0.0055025133841533685
C10orf32|119032,0.0038465037907603064
C10orf41,0.01016172632521998
C10orf41;ZNF503,0.0029944529011052337
C10orf88|80007,0.003133090090299064
C11orf1|64776,0.0033201426889528374
C11orf70,0.005481078889489784
C11orf94,0.003332358196851477
C12orf27,0.007396120533023951
C12orf41|54934,0.003027320109002804
C12orf53,0.0067603801295676915
C12orf5|57103,0.004980230001393447
C12orf72|254013,0.005270577936070249
C12orf76,0.004873961457178176
C13orf1,0.004868308714942448
C13orf29|283487,0.003917288566781851
C13orf31|144811,0.004573482785458865
C14orf101|54916,0.0040714979510342005
C14orf118|55668,0.0044387123992155955
C14orf1|11161,0.004273187296622702
C14orf4,0.0056215891153463034
C14orf45|80127,0.005438105942478054
C14orf49,0.005495365293810145
C14orf64,0.0067382058599086084
C14orf80,0.005925338694203246
C15orf40,0.004678116535266011
C15orf40|123207,0.0038869693340868737
C15orf48;MIR147B,0.009155317587161413
C15orf50,0.008667035527218786
C15orf61|145853,0.004765631243240173
C16orf42|115939,0.0060682782192313595
C16orf53;PRRT2,0.005494502464523447
C16orf7,0.004487736725946026
C16orf71|146562,0.012642364542478026
C17orf54,0.003347116582322614
C17orf62,0.004225102311216339
C17orf67,0.003940368086636043
C17orf67|339210,0.007926426346533521
C17orf77;CD300LD,0.01704775331463591
C17orf81,0.003672840795509783
C18orf1,0.004116491740217039
C18orf8|29919,0.005107218252047744
C19orf53,0.004075932297514374
C19orf57|79173,0.00613578495867771
C1QTNF7,0.012046540636131847
C1orf103|55791,0.0036504103243218773
C1orf216|127703,0.004071180524177854
C1orf92,0.007120485779353682
C20orf111|51526,0.005062903496216657
C20orf141;LOC100288797,0.004557894977958325
C20orf144;NECAB3,0.0038403824397163808
C20orf194,0.0030708346308108104
C20orf196,0.004650570905739747
C20orf4|25980,0.004159804470553275
C20orf54|113278,0.0031936069512050387
C20orf71,0.008219189385860885
C21orf130,0.03468465527454481
C21orf29;KRTAP10-5,0.013695439276000145
C21orf67|84536,0.0037128199780427145
C2orf16,0.005596776805986483
C2orf24|27013,0.003311855357734613
C2orf55|343990,0.005596867516926117
C2orf64|493753,0.004692360291113754
C2orf66,0.005504303670046981
C2orf72,0.004528169425496366
C2orf79|391356,0.003754283783869966
C2orf7|84279,0.0040437088765205974
C2orf80,0.004699590161985365
C2orf89,0.004986017322206534
C3orf17,0.003370600058997476
C3orf21,0.004042718549399983
C3orf34|84984,0.005297849324886188
C3orf39|84892,0.005149214077935003
C3orf42|84657,0.004501304074192141
C3orf47|339942,0.004734292329671264
C3orf49,0.00553301785610476
C3orf62|375341,0.004891524584314022
C4A|720,0.015051534512003344
C4orf32|132720,0.007027433495893769
C4orf42;CTBP1,0.004166217204914774
C4orf52,0.004630286552242634
C4orf52|389203,0.0031145851333403327
C5orf25|375484,0.004505605885465339
C5orf33|133686,0.002709046808198988
C5orf39|389289,0.006148882108355215
C5orf53|492311,0.005774810295454699
C5orf54|63920,0.0029782109242241514
C6orf132|647024,0.005357903261381635
C6orf141,0.005162229977272852
C6orf145|221749,0.0060209559772894826
C6orf211|79624,0.012633052994693016
C6orf222,0.004742663151253951
C6orf48|50854,0.003031628475239724
C6orf64,0.004073929910020764
C7orf10;C7orf11,0.0058016454261190535
C7orf50;GPER,0.005439290401964831
C7orf55|154791,0.004215447822325677
C7orf69;PKD1L1,0.011557485337278708
C8orf37,0.003425549159148273
C8orf39;RBM12B,0.004300700213900737
C8orf42|157695,0.004227708840796751
C8orf55|51337,0.004527567117286828
C8orf58;KIAA1967,0.0036910771611580124
C8orf76|84933,0.00591685365464745
C8orf84|157869,0.011356888796436307
C9orf153,0.005551056768109838
C9orf30|91283,0.0034091474823450345
C9orf3|84909,0.005674552584440108
C9orf4,0.008333617422662974
C9orf40,0.003693660778399316
C9orf57,0.006355065594426046
C9orf66;DOCK8,0.020242250530054042
C9orf78;USP20,0.005204347989136222
C9orf9,0.003346765841549265
CA5B,0.01567634834213387
CABYR,0.0034376384441042783
CACNA1I,0.00567689351831741
CACNA2D2|9254,0.01510147889468269
CALB2,0.005243373069502994
CALCOCO1|57658,0.005217113106275055
CALM2|805,0.003704900729445529
CAMK1D|57118,0.003571271508451492
CAMKK1|84254,0.004139228324346369
CAMKK2|10645,0.004054065215100062
CAMSAP1L1,0.0035342963048463896
CAP1,0.0027960523673318033
CAPN10,0.004858636943054969
CAPN12|147968,0.0032955296294657436
CAPN1|823,0.003902967897031054
CAPN2|824,0.004448402329037175
CAPN7,0.004533120605256995
CAPRIN1|4076,0.0042539478550717895
CAPRIN2,0.002950130231841731
CAPZA2|830,0.003792394282953498
CARD10,0.0027080866017793193
CARD16|114769,0.0044012048157793466
CARKD,0.004464886110589657
CASC1,0.022221728549707314
CBWD2|150472,0.005982913644331745
CC2D1A|54862,0.004628666071868072
CC2D2B,0.007316833538755088
CCAR1,0.004171949732630149
CCDC101|112869,0.004015209406393796
CCDC102B|79839,0.007410988247957757
CCDC112|153733,0.0030882312337637227
CCDC12,0.004518697630742583
CCDC132|55610,0.0031257890999572624
CCDC142,0.004602741074063672
CCDC149,0.004238020447028526
CCDC22;CACNA1F,0.004470007183144406
CCDC34|91057,0.0039787620875170624
CCDC48,0.00414940901572859
CCDC61;MIR769,0.004573182804684927
CCDC64|92558,0.009119064715730586
CCDC70,0.0034615715513860203
CCDC82;JRKL,0.00542313961241832
CCDC82|79780,0.005346686489549083
CCDC85A,0.004198536788464448
CCDC9,0.0035486298564952846
CCDC93,0.004552663288928591
CCKAR,0.004956189900874119
CCNT1,0.0035046268046466165
CCR1|1230,0.0037116008617602524
CCRN4L,0.0048027335205336995
CCT5|22948,0.0049731219087962315
CCT6A|908,0.003991609524881879
CD19,0.004204960072088332
CD24|100133941,0.007672493071922746
CD274,0.0064466999914508825
CD276,0.0031940594128458386
CD2AP,0.004160637278157863
