2020-10-28 14:39:57.011852 

This run includes 6 GCNs: mRNA, miRNA, meth, naive_mRNA-mRNA, naive_miRNA-miRNA, naive_meth-meth 


Training...
Epoch 0, Train loss: C1:1.23e-01, C2:2.21e-01, C3:7.16e-02, C4:1.07e-01, C5:6.41e-02, C6:6.52e-02, C:5.53e-01
Epoch 37, Train loss: C1:1.76e-02, C2:2.11e-02, C3:1.77e-02, C4:1.58e+03, C5:1.78e+03, C6:1.26e+02, C:5.73e-01
Epoch 38, Train loss: C1:1.72e-02, C2:2.08e-02, C3:1.74e-02, C4:1.13e+02, C5:4.96e+03, C6:1.67e+02, C:2.10e+00
Epoch 39, Train loss: C1:1.69e-02, C2:2.08e-02, C3:1.72e-02, C4:7.64e+02, C5:6.37e+03, C6:5.85e+01, C:3.31e+00
Epoch 40, Train loss: C1:1.70e-02, C2:2.08e-02, C3:1.66e-02, C4:1.31e+03, C5:3.65e+03, C6:5.86e+01, C:9.68e-01
Epoch 41, Train loss: C1:1.68e-02, C2:2.05e-02, C3:1.68e-02, C4:1.32e+03, C5:5.78e+03, C6:4.08e+01, C:1.38e+00
Epoch 42, Train loss: C1:1.68e-02, C2:2.03e-02, C3:1.67e-02, C4:2.82e+02, C5:6.70e+03, C6:1.00e+02, C:5.82e-01
Epoch 43, Train loss: C1:1.70e-02, C2:2.03e-02, C3:1.65e-02, C4:3.32e+02, C5:3.61e+03, C6:8.67e+01, C:2.05e+00
Epoch 44, Train loss: C1:1.69e-02, C2:1.99e-02, C3:1.66e-02, C4:6.86e+02, C5:2.63e+03, C6:3.14e+01, C:3.20e+00
Epoch 45, Train loss: C1:1.65e-02, C2:2.02e-02, C3:1.66e-02, C4:9.96e+02, C5:2.86e+03, C6:3.65e+01, C:1.27e+00
Epoch 46, Train loss: C1:1.67e-02, C2:2.00e-02, C3:1.62e-02, C4:3.82e+02, C5:1.10e+03, C6:3.92e+01, C:5.34e-01
Epoch 47, Train loss: C1:1.62e-02, C2:1.98e-02, C3:1.64e-02, C4:1.74e+02, C5:1.60e+03, C6:7.07e+01, C:4.77e-01
Epoch 48, Train loss: C1:1.67e-02, C2:1.95e-02, C3:1.62e-02, C4:3.28e+02, C5:4.25e+03, C6:4.33e+01, C:2.32e+00
Epoch 49, Train loss: C1:1.63e-02, C2:1.94e-02, C3:1.61e-02, C4:6.69e+02, C5:4.83e+03, C6:2.54e+01, C:2.76e+00
