index,train_accuracy,train_F1,test_accuracy,test_F1
0,0.2625570776255708,0.21348016574866177,0.30434782608695654,0.24571346128164526
50,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
100,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
150,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
200,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
250,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
300,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
350,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
400,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
450,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
500,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
550,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
600,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
650,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
700,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
750,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
800,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
850,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
900,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
950,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
1000,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
1050,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
1100,0.4771689497716895,0.30827916693132335,0.4945652173913043,0.338290775247297
1150,0.4794520547945205,0.3132489407605729,0.5163043478260869,0.37462712487741096
1200,0.4771689497716895,0.30827916693132335,0.5217391304347826,0.39355733877434107
1250,0.4908675799086758,0.3370614464437172,0.532608695652174,0.4119302043656043
1300,0.6027397260273972,0.5061005016182293,0.5706521739130435,0.4720065562456867
1350,0.6872146118721462,0.6073163406403072,0.5760869565217391,0.47828462460499077
1400,0.7625570776255708,0.6756728970056605,0.5869565217391305,0.49191314544017806
1450,0.7488584474885844,0.6655284992964432,0.5869565217391305,0.4889952342588845
1500,0.7648401826484018,0.6866393890471298,0.625,0.5464234819659983
1550,0.771689497716895,0.7040156445512564,0.625,0.5521448706231314
1600,0.8287671232876712,0.7941350938933986,0.6521739130434783,0.5982652986534973
1650,0.910958904109589,0.8838913364879817,0.6793478260869565,0.6394165737643999
1700,0.9155251141552512,0.8885526131968312,0.6956521739130435,0.6557427886636952
1750,0.9200913242009132,0.8930737727661,0.7065217391304348,0.6695653891973739
1800,0.9155251141552512,0.888714567312193,0.717391304347826,0.6831680589621586
1850,0.9200913242009132,0.8929806852476447,0.7228260869565217,0.6895240854465591
1900,0.9223744292237442,0.8950732364047573,0.7336956521739131,0.7046808570816403
1950,0.9246575342465754,0.8971765257880521,0.7391304347826086,0.7109877665796516
2000,0.9269406392694064,0.8994596308108831,0.7391304347826086,0.7157085549280844
