,mRNA,methylation,miRNA,meth_mrna,meth_mirna,mrna_mirna,mrna_mrna,meth_meth,mirna_mirna,FullyConnected
0,0.1513138711452484,0.0879126712679863,0.042357251048088074,0.0529061034321785,0.04160651937127113,0.039863221347332,0.05779610574245453,0.1200711727142334,0.040510181337594986,0.3466154932975769
1,1.1977083683013916,1.2482329607009888,0.037818677723407745,0.7564687728881836,0.03096257708966732,0.048287201672792435,0.993709921836853,0.4659591615200043,0.038178447633981705,0.3429411053657532
2,0.2041039913892746,0.16953028738498688,0.03512601926922798,0.09699394553899765,0.029813097789883614,0.033663004636764526,0.1083836629986763,0.11263199895620346,0.036304231733083725,0.3356865644454956
3,0.09210515022277832,0.11868222802877426,0.03364422172307968,0.08430809527635574,0.027229735627770424,0.027259333059191704,0.12126482278108597,0.04319619759917259,0.03487158939242363,0.3315048813819885
4,0.24383887648582458,0.25057724118232727,0.03304535523056984,0.15846803784370422,0.024188172072172165,0.028658058494329453,0.218114972114563,0.09611564129590988,0.03381114453077316,0.3306497037410736
5,0.18836624920368195,0.17605620622634888,0.032856013625860214,0.0927823930978775,0.02296259254217148,0.029258541762828827,0.12586632370948792,0.09622189402580261,0.03297897055745125,0.3304564356803894
6,0.07753529399633408,0.0638110488653183,0.0320061631500721,0.03322233632206917,0.022341404110193253,0.026988200843334198,0.038214538246393204,0.05401327461004257,0.03220895677804947,0.33050337433815
7,0.04546476528048515,0.05654770880937576,0.031482625752687454,0.048790495842695236,0.021851571276783943,0.02459271438419819,0.0586351715028286,0.028371375054121017,0.03147955611348152,0.3299059271812439
8,0.10081353038549423,0.12679234147071838,0.030499979853630066,0.08027303218841553,0.02111312374472618,0.02338230051100254,0.10616493970155716,0.038935549557209015,0.030908985063433647,0.3285476565361023
9,0.10872235149145126,0.11361605674028397,0.03018873743712902,0.06534428149461746,0.020097989588975906,0.023526405915617943,0.08334812521934509,0.05423470586538315,0.03046507202088833,0.326983243227005
10,0.07128218561410904,0.0657828077673912,0.029552364721894264,0.03666723519563675,0.019081849604845047,0.023758206516504288,0.043962109833955765,0.04724915698170662,0.029927125200629234,0.3256113529205322
