,mRNA,methylation,miRNA,meth_mrna,meth_mirna,mrna_mirna,mrna_mrna,meth_meth,mirna_mirna,FullyConnected,FullyConnected
0,0.12799009680747986,0.06737963110208511,0.04246644303202629,0.05180303007364273,0.040102262049913406,0.03938848897814751,0.06689182668924332,0.08085527271032333,0.04038400575518608,0.35610997676849365,0.35610997676849365
1,1.2314503192901611,1.438452124595642,0.03796109929680824,0.6676123142242432,0.031084241345524788,0.05599486827850342,1.1038650274276733,0.6618680357933044,0.037869539111852646,0.3421938121318817,0.3421938121318817
2,0.18405009806156158,0.17766782641410828,0.03498794883489609,0.09756000339984894,0.02957497537136078,0.03486547991633415,0.15135672688484192,0.10460754483938217,0.036104410886764526,0.33586451411247253,0.33586451411247253
3,0.11160948872566223,0.1514948457479477,0.03333711251616478,0.08576864004135132,0.02630147524178028,0.029436398297548294,0.0898955762386322,0.0639813095331192,0.03461805358529091,0.33622995018959045,0.33622995018959045
4,0.27065718173980713,0.32414090633392334,0.03299630433320999,0.14435115456581116,0.024088682606816292,0.03237089514732361,0.21268704533576965,0.15000997483730316,0.033475711941719055,0.33547791838645935,0.33547791838645935
5,0.17758314311504364,0.2029435783624649,0.03282647952437401,0.09832839667797089,0.0226177666336298,0.031831637024879456,0.13594576716423035,0.1079772561788559,0.03263876587152481,0.3335407078266144,0.3335407078266144
6,0.06149718537926674,0.05993326008319855,0.032763831317424774,0.03768400102853775,0.02222798950970173,0.02830677293241024,0.04055073484778404,0.0454852320253849,0.03185468912124634,0.3315476179122925,0.3315476179122925
7,0.04844089597463608,0.06862778961658478,0.0316096730530262,0.03732762858271599,0.021486327052116394,0.02549808658659458,0.082210473716259,0.032382406294345856,0.031242389231920242,0.3302200436592102,0.3302200436592102
8,0.10641133040189743,0.14336293935775757,0.03125559911131859,0.06940315663814545,0.020612113177776337,0.024526506662368774,0.1250171661376953,0.05884355679154396,0.030682742595672607,0.32889240980148315,0.32889240980148315
9,0.11290668696165085,0.11746234446763992,0.030338110402226448,0.06616779416799545,0.019740363582968712,0.024453846737742424,0.08347024768590927,0.06803098320960999,0.03007844276726246,0.3271206319332123,0.3271206319332123
10,0.07080338895320892,0.06478969007730484,0.029635563492774963,0.04329684004187584,0.018884826451539993,0.02456328459084034,0.04129791259765625,0.05037049949169159,0.029431510716676712,0.32590436935424805,0.32590436935424805
11,0.039674218744039536,0.03711160272359848,0.028889285400509834,0.029925266280770302,0.01841139607131481,0.023903220891952515,0.034926991909742355,0.03203193098306656,0.028829406946897507,0.32530272006988525,0.32530272006988525
12,0.0417013093829155,0.04831670597195625,0.028208797797560692,0.029698917642235756,0.018055258318781853,0.022905608639121056,0.0538480319082737,0.027456706389784813,0.028267454355955124,0.32429733872413635,0.32429733872413635
13,0.05964720621705055,0.06232094764709473,0.027649128809571266,0.03542369604110718,0.017448874190449715,0.021973248571157455,0.06113241985440254,0.033211443573236465,0.027783464640378952,0.32330331206321716,0.32330331206321716
14,0.06050904467701912,0.06367114931344986,0.02726333774626255,0.03925137594342232,0.01725609600543976,0.021467892453074455,0.052333034574985504,0.03923060745000839,0.027212247252464294,0.3232434391975403,0.3232434391975403
15,0.04798085242509842,0.0532950721681118,0.027073323726654053,0.03588082641363144,0.016811007633805275,0.02124974876642227,0.03706556558609009,0.03622505068778992,0.026692654937505722,0.32270991802215576,0.32270991802215576
16,0.035585667937994,0.04014081880450249,0.02638815902173519,0.028871780261397362,0.016547663137316704,0.021227741613984108,0.030190421268343925,0.029610564932227135,0.02635250985622406,0.3221367299556732,0.3221367299556732
17,0.03534727916121483,0.0349399708211422,0.026172379031777382,0.025235556066036224,0.01618180423974991,0.020955218002200127,0.03449681028723717,0.024590058252215385,0.02592265047132969,0.3217369318008423,0.3217369318008423
18,0.04247622936964035,0.03734959661960602,0.02564053051173687,0.025798726826906204,0.016020404174923897,0.020123863592743874,0.0420585535466671,0.024876054376363754,0.02554662711918354,0.32183903455734253,0.32183903455734253
19,0.04609297215938568,0.043848536908626556,0.025059815496206284,0.02802933007478714,0.0157464612275362,0.01949126273393631,0.04171313717961311,0.028066523373126984,0.025179097428917885,0.3216005563735962,0.3216005563735962
20,0.04186089336872101,0.04609145224094391,0.024507150053977966,0.029419805854558945,0.015358870849013329,0.01965915411710739,0.03532727435231209,0.03025882877409458,0.02484806440770626,0.3215060830116272,0.3215060830116272
21,0.03641170263290405,0.04218113422393799,0.024256305769085884,0.028052182868123055,0.01504695788025856,0.019455743953585625,0.028048161417245865,0.02882581576704979,0.024593155831098557,0.3213917016983032,0.3213917016983032
22,0.032240159809589386,0.035766907036304474,0.023767054080963135,0.025415971875190735,0.01468911487609148,0.019297704100608826,0.026377016678452492,0.025716178119182587,0.024233082309365273,0.32098954916000366,0.32098954916000366
23,0.03217771649360657,0.03191857784986496,0.023624541237950325,0.02373514324426651,0.014610445126891136,0.01870112121105194,0.027191249653697014,0.023061834275722504,0.023852623999118805,0.3207419216632843,0.3207419216632843
24,0.034307949244976044,0.03155650198459625,0.023023279383778572,0.02262602001428604,0.014418018981814384,0.018459387123584747,0.029755860567092896,0.021830594167113304,0.02367420680820942,0.32042428851127625,0.32042428851127625
