,lr,weight_decay,dropout,adj_parameter,tr_acc,tr_F1,test_acc,test_F1
0,0.0001,0.0005,0.1,2,0.9942583732057416,0.9942583403444308,0.842391304347826,0.841178788007534
1,0.0001,0.0005,0.1,5,0.9933014354066986,0.9932944468207856,0.8478260869565217,0.8504081141392801
2,0.0001,0.0005,0.1,8,0.9913875598086125,0.9914070824213905,0.8206521739130435,0.8169086137994125
3,0.0001,0.0005,0.25,2,0.9933014354066986,0.9932945454852161,0.8586956521739131,0.8582998077327
4,0.0001,0.0005,0.25,5,0.9952153110047847,0.9952106774019851,0.8315217391304348,0.8324541108780178
5,0.0001,0.0005,0.25,8,0.9942583732057416,0.9942490074086775,0.8315217391304348,0.8317635319864763
6,0.0001,0.0005,0.5,2,0.9885167464114832,0.9884957626299027,0.8586956521739131,0.8595808098790166
7,0.0001,0.0005,0.5,5,0.9923444976076555,0.9923444537925746,0.8369565217391305,0.8364330836543382
8,0.0001,0.0005,0.5,8,0.9923444976076555,0.9923396603989227,0.8532608695652174,0.8533041339043229
9,0.0001,0.0005,0.75,2,0.9789473684210527,0.9788937319056009,0.8369565217391305,0.8351815984381297
10,0.0001,0.0005,0.75,5,0.9770334928229665,0.9769537906270672,0.8478260869565217,0.8510325560122318
11,0.0001,0.0005,0.75,8,0.9856459330143541,0.9856382078732637,0.8532608695652174,0.8510055955502066
12,0.0001,0.001,0.1,2,0.9856459330143541,0.9856312367333824,0.8532608695652174,0.8540597608797068
13,0.0001,0.001,0.1,5,0.9808612440191388,0.9807909717365687,0.8478260869565217,0.8494743257767512
14,0.0001,0.001,0.1,8,0.9827751196172249,0.9827343338576187,0.842391304347826,0.8460670937286463
15,0.0001,0.001,0.25,2,0.9875598086124402,0.9875524578087611,0.8478260869565217,0.8479137764155698
16,0.0001,0.001,0.25,5,0.9875598086124402,0.987547878041467,0.842391304347826,0.8413726098500959
17,0.0001,0.001,0.25,8,0.9846889952153111,0.9846510335028439,0.8260869565217391,0.8236853798290471
18,0.0001,0.001,0.5,2,0.9827751196172249,0.9827371437757989,0.8369565217391305,0.8352762498964829
19,0.0001,0.001,0.5,5,0.9856459330143541,0.9856358930397673,0.8315217391304348,0.8303552060137329
20,0.0001,0.001,0.5,8,0.9856459330143541,0.9856074323844661,0.8315217391304348,0.8329920184835118
21,0.0001,0.001,0.75,2,0.9712918660287081,0.9712178790037064,0.8478260869565217,0.8489762173547197
22,0.0001,0.001,0.75,5,0.9722488038277513,0.9721020195138718,0.8586956521739131,0.8593688946151165
23,0.0001,0.001,0.75,8,0.9741626794258373,0.9740324238527049,0.8586956521739131,0.8610854752701521
24,0.0001,0.003,0.1,2,0.9339712918660287,0.9327372349248625,0.8586956521739131,0.8623589800243864
25,0.0001,0.003,0.1,5,0.9282296650717703,0.9270860672224219,0.8641304347826086,0.8677399877350254
26,0.0001,0.003,0.1,8,0.9272727272727272,0.9255676613685818,0.842391304347826,0.8471867874832928
27,0.0001,0.003,0.25,2,0.9311004784688995,0.9298732319266257,0.8586956521739131,0.8617179311916153
28,0.0001,0.003,0.25,5,0.9368421052631579,0.9362970934075561,0.8532608695652174,0.8565211765235395
29,0.0001,0.003,0.25,8,0.9263157894736842,0.9245764045983909,0.8641304347826086,0.8670989389022542
30,0.0001,0.003,0.5,2,0.9234449760765551,0.9223416257757389,0.8641304347826086,0.8673978919631093
31,0.0001,0.003,0.5,5,0.9196172248803828,0.918415541073069,0.8478260869565217,0.8509720221081524
32,0.0001,0.003,0.5,8,0.9282296650717703,0.9272681511659718,0.782608695652174,0.7895107527367998
33,0.0001,0.003,0.75,2,0.9205741626794258,0.9192512188338788,0.8478260869565217,0.8518413399497007
34,0.0001,0.003,0.75,5,0.9100478468899521,0.9080559658524654,0.8532608695652174,0.8569017264321215
35,0.0001,0.003,0.75,8,0.9167464114832536,0.9149075129396492,0.8532608695652174,0.8569017264321215
36,0.0001,0.005,0.1,2,0.8832535885167464,0.8801890276582846,0.7934782608695652,0.7989622811094151
37,0.0001,0.005,0.1,5,0.8688995215311005,0.8627861518352152,0.717391304347826,0.7209240991912814
38,0.0001,0.005,0.1,8,0.8832535885167464,0.8810056128761058,0.7663043478260869,0.7747851702070991
39,0.0001,0.005,0.25,2,0.8507177033492823,0.8488621999096752,0.8478260869565217,0.8468573607932876
40,0.0001,0.005,0.25,5,0.8880382775119617,0.8861487654626307,0.8315217391304348,0.8364443388806208
41,0.0001,0.005,0.25,8,0.8832535885167464,0.8795197691692949,0.7934782608695652,0.8011806421719112
42,0.0001,0.005,0.5,2,0.8660287081339713,0.862350575193436,0.7989130434782609,0.8053567658493137
43,0.0001,0.005,0.5,5,0.8535885167464115,0.8504548160354318,0.7445652173913043,0.7533911615620761
44,0.0001,0.005,0.5,8,0.8755980861244019,0.8747630181253027,0.842391304347826,0.845490482569095
45,0.0001,0.005,0.75,2,0.845933014354067,0.8433963965724294,0.7771739130434783,0.7843313053009484
46,0.0001,0.005,0.75,5,0.7933014354066986,0.7638307692058891,0.6032608695652174,0.5810751586968934
47,0.0001,0.005,0.75,8,0.845933014354067,0.8399966039127406,0.7445652173913043,0.7526950596660795
48,0.0005,0.0005,0.1,2,0.9952153110047847,0.9952151901946911,0.8478260869565217,0.8469005834507483
49,0.0005,0.0005,0.1,5,0.9933014354066986,0.9933011451197495,0.8586956521739131,0.8572954653848347
