,0
CD11a,0.6293248025015723
CD11c,0.8024176502500157
CD123,0.5206778669165031
CD127-IL7Ra,0.46253623635264896
CD14_y,0.7985066434954486
CD16,0.5769199326656028
CD161,0.43527125597621935
CD19,0.7378830528733602
CD197-CCR7,0.29520551446189647
CD25,0.23210126839021292
CD27,0.5731052831665728
CD278-ICOS,0.4396943112183326
CD28,0.5087341840245345
CD3,0.5468265379433271
CD34_y,0.31009977746199574
CD38_y,0.40958408485365305
CD4,0.47479808665828854
CD45RA,0.5112563053727179
CD45RO,0.3357399951556017
CD56,0.3897385087426078
CD57,0.20991728229075862
CD69,0.5133391699218288
CD79b,0.5658435273551541
CD8a,0.5655325300671162
HLA.DR,0.5486468542258182
