,0
CD11a,0.745549013435388
CD11c,0.5932499916141536
CD123,0.5970949027410785
CD127-IL7Ra,0.3799603225707286
CD14_y,0.41565792166818344
CD16,0.2911987546227533
CD161,0.3272751629790932
CD19,0.38233590966680114
CD197-CCR7,0.3894411696048434
CD25,0.12424536105026615
CD27,0.6442834722207871
CD278-ICOS,0.5628239135319815
CD28,0.570126678000235
CD3,0.6293047877673283
CD34_y,0.3705567291715828
CD38_y,0.5045933313232801
CD4,0.5841639012307585
CD45RA,0.5848206229355554
CD45RO,0.3984110231587393
CD56,0.285928153292189
CD57,0.299871762512055
CD69,0.29041309314872954
CD79b,0.3517848812666858
CD8a,0.2842409944754274
HLA.DR,0.7172974116233733
