,0
CD11a,0.7138524241932305
CD11c,0.4230406514806859
CD123,0.5869730850289272
CD127-IL7Ra,0.45227443813112833
CD14_y,0.3160822597638533
CD16,0.8495179309166251
CD161,0.5651175375690174
CD19,0.9040901403871704
CD197-CCR7,0.389266926747449
CD25,0.13791605204845073
CD27,0.4634475608832424
CD278-ICOS,0.41624701888690724
CD28,0.4868063109429537
CD3,0.5157886696342138
CD34_y,0.5567183967678525
CD38_y,0.37572152740264686
CD4,0.5009797433261666
CD45RA,0.5976220938461998
CD45RO,0.3333118078097391
CD56,0.7049018099139043
CD57,0.514024499426069
CD69,0.3032871288745402
CD79b,0.7408735902420186
CD8a,0.3663097830126241
HLA.DR,0.5225800728718453
