,0
CD11a,0.8296842237462595
CD11c,0.769447676788544
CD123,0.628891727887581
CD127-IL7Ra,0.598838857402395
CD14_y,0.8082593710030884
CD16,0.4243317488771411
CD161,0.4494565438214711
CD19,0.7921250509330465
CD197-CCR7,0.38945698479947444
CD25,0.27087328980898245
CD27,0.6497421245395586
CD278-ICOS,0.5426006969359681
CD28,0.6345156985846905
CD3,0.6071825007367797
CD34_y,0.6197615466271575
CD38_y,0.47563052417963125
CD4,0.5128307305211137
CD45RA,0.6911473088816087
CD45RO,0.21797239223911802
CD56,0.7193395118032032
CD57,0.46011914935106496
CD69,0.29001778083980023
CD79b,0.7163668198049912
CD8a,0.35924298963497464
HLA.DR,0.5954568824457854
