,0
CD11a,0.8302914672438927
CD11c,0.8338901470136435
CD123,0.6513176648278615
CD127-IL7Ra,0.6427663552967406
CD14_y,0.8697898672335771
CD16,0.6048733059802264
CD161,0.4443653335640687
CD19,0.8835258990872414
CD197-CCR7,0.40035902514710897
CD25,0.26915803043555453
CD27,0.6741697154331129
CD278-ICOS,0.5786105235610617
CD28,0.6639799007741649
CD3,0.6638507276296266
CD34_y,0.6595959622482462
CD38_y,0.5091026792014419
CD4,0.49146657480054573
CD45RA,0.6785726938752831
CD45RO,0.2388153048934966
CD56,0.6699240289955517
CD57,0.4664623501410879
CD69,0.5030689819241584
CD79b,0.7163927272714684
CD8a,0.379658923203284
HLA.DR,0.6456389137021366
