,0
CD11a,0.7703467061988517
CD11c,0.7501370353250241
CD123,0.6912892878340934
CD127-IL7Ra,0.76327574546723
CD14_y,0.6060714653177849
CD16,0.25658554487594665
CD161,0.26420519998185465
CD19,0.3117438458182202
CD197-CCR7,0.3673436991371203
CD25,0.27009238581910167
CD27,0.818367643871202
CD278-ICOS,0.7527789952047094
CD28,0.7743812065581549
CD3,0.7203132264226698
CD34_y,0.582741359375958
CD38_y,0.6599004390793062
CD4,0.5157352804367165
CD45RA,0.6884211792928178
CD45RO,0.48952987177145213
CD56,0.1836573887490997
CD57,0.24396809765209596
CD69,0.6226702931297883
CD79b,0.2672930165208135
CD8a,0.2464943379138844
HLA.DR,0.7947152504126375
